step 1890; step_loss: 0.4525
step 1900; step_loss: 0.4433
step 1910; step_loss: 0.4456
step 1920; step_loss: 0.5452
step 1930; step_loss: 0.3806
step 1940; step_loss: 0.4785
step 1950; step_loss: 0.4612
step 1960; step_loss: 0.5877
step 1970; step_loss: 0.3869
step 1980; step_loss: 0.4778
step 1990; step_loss: 0.4779

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.411 | 0.737 | 1.177 | 1.371 | 1.665 | 2.253 |

============================
Global step:         2000
Learning rate:       0.0005
Step-time (ms):     36.2668
Train loss avg:      0.5101
--------------------------
Val loss:            0.7398
srnn loss:           0.6047
============================

Saving the model...
done in 328.59 ms
step 2000; step_loss: 0.7074
step 2010; step_loss: 0.4462
step 2020; step_loss: 0.5201
step 2030; step_loss: 0.5134
step 2040; step_loss: 0.5452
step 2050; step_loss: 0.5053
step 2060; step_loss: 0.3581
step 2070; step_loss: 0.3481
step 2080; step_loss: 0.4005
step 2090; step_loss: 0.3952
step 2100; step_loss: 0.3667
step 2110; step_loss: 0.3835
step 2120; step_loss: 0.4002
step 2130; step_loss: 0.4995
step 2140; step_loss: 0.3643
step 2150; step_loss: 0.4040
step 2160; step_loss: 0.5987
step 2170; step_loss: 0.3792
step 2180; step_loss: 0.3635
step 2190; step_loss: 0.7545
step 2200; step_loss: 0.5241
step 2210; step_loss: 0.5386
step 2220; step_loss: 0.3755
step 2230; step_loss: 0.4929
step 2240; step_loss: 0.4220
step 2250; step_loss: 0.4050
step 2260; step_loss: 0.5682
step 2270; step_loss: 0.5345
step 2280; step_loss: 0.4330
step 2290; step_loss: 0.4331
step 2300; step_loss: 0.3761
step 2310; step_loss: 0.4008
step 2320; step_loss: 0.3679
step 2330; step_loss: 0.3700
step 2340; step_loss: 0.4187
step 2350; step_loss: 0.5963
step 2360; step_loss: 0.4229
step 2370; step_loss: 0.5646
step 2380; step_loss: 0.4075
step 2390; step_loss: 0.5386
step 2400; step_loss: 0.4787
step 2410; step_loss: 0.4877
step 2420; step_loss: 0.4194
step 2430; step_loss: 0.2879
step 2440; step_loss: 0.4473
step 2450; step_loss: 0.4266
step 2460; step_loss: 0.4763
step 2470; step_loss: 0.3593
step 2480; step_loss: 0.3863
step 2490; step_loss: 0.3758
step 2500; step_loss: 0.4467
step 2510; step_loss: 0.3395
step 2520; step_loss: 0.4477
step 2530; step_loss: 0.3972
step 2540; step_loss: 0.4226
step 2550; step_loss: 0.5499
step 2560; step_loss: 0.4248
step 2570; step_loss: 0.3148
step 2580; step_loss: 0.4670
step 2590; step_loss: 0.3580
step 2600; step_loss: 0.5752
step 2610; step_loss: 0.3861
step 2620; step_loss: 0.3425
step 2630; step_loss: 0.4237
step 2640; step_loss: 0.3084
step 2650; step_loss: 0.4766
step 2660; step_loss: 0.2840
step 2670; step_loss: 0.3817
step 2680; step_loss: 0.4442
step 2690; step_loss: 0.4170
step 2700; step_loss: 0.4252
step 2710; step_loss: 0.2999
step 2720; step_loss: 0.3829
step 2730; step_loss: 0.4503
step 2740; step_loss: 0.4049
step 2750; step_loss: 0.4523
step 2760; step_loss: 0.5272
step 2770; step_loss: 0.3213
step 2780; step_loss: 0.4840
step 2790; step_loss: 0.3853
step 2800; step_loss: 0.5228
step 2810; step_loss: 0.5948
step 2820; step_loss: 0.3536
step 2830; step_loss: 0.3894
step 2840; step_loss: 0.5079
step 2850; step_loss: 0.4597
step 2860; step_loss: 0.4656
step 2870; step_loss: 0.3849
step 2880; step_loss: 0.6132
step 2890; step_loss: 0.6087
step 2900; step_loss: 0.4233
step 2910; step_loss: 0.3585
step 2920; step_loss: 0.3428
step 2930; step_loss: 0.3863
step 2940; step_loss: 0.3969
step 2950; step_loss: 0.4704
step 2960; step_loss: 0.4027
step 2970; step_loss: 0.3721
step 2980; step_loss: 0.3446
step 2990; step_loss: 0.5873

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.394 | 0.699 | 1.093 | 1.266 | 1.529 | 2.044 |

============================
Global step:         3000
Learning rate:       0.0005
Step-time (ms):     32.9408
Train loss avg:      0.4440
--------------------------
Val loss:            0.6566
srnn loss:           0.5534
============================

Saving the model...
done in 324.85 ms
step 3000; step_loss: 0.6155
step 3010; step_loss: 0.3067
step 3020; step_loss: 0.4322
step 3030; step_loss: 0.4647
step 3040; step_loss: 0.3837
step 3050; step_loss: 0.2693
step 3060; step_loss: 0.3376
step 3070; step_loss: 0.3823
step 3080; step_loss: 0.4235
step 3090; step_loss: 0.3753
step 3100; step_loss: 0.5301
step 3110; step_loss: 0.4955
step 3120; step_loss: 0.4690
step 3130; step_loss: 0.3643
step 3140; step_loss: 0.4447
step 3150; step_loss: 0.3165
step 3160; step_loss: 0.4462
step 3170; step_loss: 0.3504
step 3180; step_loss: 0.4992
step 3190; step_loss: 0.4076
step 3200; step_loss: 0.3694
step 3210; step_loss: 0.5256
step 3220; step_loss: 0.4155
step 3230; step_loss: 0.4052
step 3240; step_loss: 0.5204
step 3250; step_loss: 0.5019
step 3260; step_loss: 0.3186
step 3270; step_loss: 0.4592
step 3280; step_loss: 0.4053
step 3290; step_loss: 0.4845
step 3300; step_loss: 0.4237
step 3310; step_loss: 0.5491
step 3320; step_loss: 0.3672
step 3330; step_loss: 0.3718
step 3340; step_loss: 0.3826
step 3350; step_loss: 0.3870
step 3360; step_loss: 0.4028
step 3370; step_loss: 0.4623
step 3380; step_loss: 0.3792
step 3390; step_loss: 0.4123
step 3400; step_loss: 0.4461
step 3410; step_loss: 0.5018
step 3420; step_loss: 0.4402
step 3430; step_loss: 0.4392
step 3440; step_loss: 0.4259
step 3450; step_loss: 0.3915
step 3460; step_loss: 0.3293
step 3470; step_loss: 0.3986
step 3480; step_loss: 0.4548
step 3490; step_loss: 0.5690
step 3500; step_loss: 0.3045
step 3510; step_loss: 0.2996
step 3520; step_loss: 0.4118
step 3530; step_loss: 0.3888
step 3540; step_loss: 0.4194
step 3550; step_loss: 0.3183
step 3560; step_loss: 0.5934
step 3570; step_loss: 0.5105
step 3580; step_loss: 0.3229
step 3590; step_loss: 0.5029
step 3600; step_loss: 0.5461
step 3610; step_loss: 0.4790
step 3620; step_loss: 0.3427
step 3630; step_loss: 0.4788
step 3640; step_loss: 0.4720
step 3650; step_loss: 0.4166
step 3660; step_loss: 0.3484
step 3670; step_loss: 0.4285
step 3680; step_loss: 0.3587
step 3690; step_loss: 0.3214
step 3700; step_loss: 0.2840
step 3710; step_loss: 0.4180
step 3720; step_loss: 0.3726
step 3730; step_loss: 0.4448
step 3740; step_loss: 0.3483
step 3750; step_loss: 0.4338
step 3760; step_loss: 0.4901
step 3770; step_loss: 0.4334
step 3780; step_loss: 0.3713
step 3790; step_loss: 0.3469
step 3800; step_loss: 0.2910
step 3810; step_loss: 0.3819
step 3820; step_loss: 0.3373
step 3830; step_loss: 0.4265
step 3840; step_loss: 0.3900
step 3850; step_loss: 0.5325
step 3860; step_loss: 0.3472
step 3870; step_loss: 0.3296
step 3880; step_loss: 0.3554
step 3890; step_loss: 0.3728
step 3900; step_loss: 0.4373
step 3910; step_loss: 0.4373
step 3920; step_loss: 0.3651
step 3930; step_loss: 0.3432
step 3940; step_loss: 0.5256
step 3950; step_loss: 0.3197
step 3960; step_loss: 0.4234
step 3970; step_loss: 0.4689
step 3980; step_loss: 0.3632
step 3990; step_loss: 0.3564

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.385 | 0.678 | 1.045 | 1.204 | 1.447 | 1.928 |

============================
Global step:         4000
Learning rate:       0.0005
Step-time (ms):     33.0044
Train loss avg:      0.4160
--------------------------
Val loss:            0.6107
srnn loss:           0.5312
============================

Saving the model...
done in 324.28 ms
step 4000; step_loss: 0.3885
step 4010; step_loss: 0.3478
step 4020; step_loss: 0.3820
step 4030; step_loss: 0.3615
step 4040; step_loss: 0.3993
step 4050; step_loss: 0.5141
step 4060; step_loss: 0.2743
step 4070; step_loss: 0.3049
step 4080; step_loss: 0.5608
step 4090; step_loss: 0.3412
step 4100; step_loss: 0.3774
step 4110; step_loss: 0.3486
step 4120; step_loss: 0.3352
step 4130; step_loss: 0.2656
step 4140; step_loss: 0.4718
step 4150; step_loss: 0.3130
step 4160; step_loss: 0.3932
step 4170; step_loss: 0.5822
step 4180; step_loss: 0.2727
step 4190; step_loss: 0.4793
step 4200; step_loss: 0.3821
step 4210; step_loss: 0.4528
step 4220; step_loss: 0.3837
step 4230; step_loss: 0.3663
step 4240; step_loss: 0.5478
step 4250; step_loss: 0.3861
step 4260; step_loss: 0.5149
step 4270; step_loss: 0.3193
step 4280; step_loss: 0.3293
step 4290; step_loss: 0.3390
step 4300; step_loss: 0.3663
step 4310; step_loss: 0.2959
step 4320; step_loss: 0.4163
step 4330; step_loss: 0.5870
step 4340; step_loss: 0.4471
step 4350; step_loss: 0.3227
step 4360; step_loss: 0.4312
step 4370; step_loss: 0.4318
step 4380; step_loss: 0.4370
step 4390; step_loss: 0.5165
step 4400; step_loss: 0.4094
step 4410; step_loss: 0.3359
step 4420; step_loss: 0.3567
step 4430; step_loss: 0.7599
step 4440; step_loss: 0.4139
step 4450; step_loss: 0.4408
step 4460; step_loss: 0.6320
step 4470; step_loss: 0.2550
step 4480; step_loss: 0.2886
step 4490; step_loss: 0.3413
step 4500; step_loss: 0.3455
step 4510; step_loss: 0.3673
step 4520; step_loss: 0.5581
step 4530; step_loss: 0.3702
step 4540; step_loss: 0.3770
step 4550; step_loss: 0.3886
step 4560; step_loss: 0.4557
step 4570; step_loss: 0.5387
step 4580; step_loss: 0.3029
step 4590; step_loss: 0.3969
step 4600; step_loss: 0.3059
step 4610; step_loss: 0.3384
step 4620; step_loss: 0.3085
step 4630; step_loss: 0.3532
step 4640; step_loss: 0.3971
step 4650; step_loss: 0.4045
step 4660; step_loss: 0.3705
step 4670; step_loss: 0.3862
step 4680; step_loss: 0.4376
step 4690; step_loss: 0.4901
step 4700; step_loss: 0.4224
step 4710; step_loss: 0.3645
step 4720; step_loss: 0.4157
step 4730; step_loss: 0.4487
step 4740; step_loss: 0.2951
step 4750; step_loss: 0.3615
step 4760; step_loss: 0.4555
step 4770; step_loss: 0.4124
step 4780; step_loss: 0.3179
step 4790; step_loss: 0.3770
step 4800; step_loss: 0.4600
step 4810; step_loss: 0.4262
step 4820; step_loss: 0.2673
step 4830; step_loss: 0.3174
step 4840; step_loss: 0.4339
step 4850; step_loss: 0.3422
step 4860; step_loss: 0.3197
step 4870; step_loss: 0.3062
step 4880; step_loss: 0.4536
step 4890; step_loss: 0.3475
step 4900; step_loss: 0.4877
step 4910; step_loss: 0.3750
step 4920; step_loss: 0.3163
step 4930; step_loss: 0.3525
step 4940; step_loss: 0.3598
step 4950; step_loss: 0.4540
step 4960; step_loss: 0.3859
step 4970; step_loss: 0.3290
step 4980; step_loss: 0.3269
step 4990; step_loss: 0.5756

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.379 | 0.665 | 1.013 | 1.164 | 1.395 | 1.849 |

============================
Global step:         5000
Learning rate:       0.0005
Step-time (ms):     32.7404
Train loss avg:      0.3969
--------------------------
Val loss:            0.5879
srnn loss:           0.5188
============================

Saving the model...
done in 328.51 ms
step 5000; step_loss: 0.4077
step 5010; step_loss: 0.4307
step 5020; step_loss: 0.3677
step 5030; step_loss: 0.5043
step 5040; step_loss: 0.3363
step 5050; step_loss: 0.3831
step 5060; step_loss: 0.3492
step 5070; step_loss: 0.5940
step 5080; step_loss: 0.3419
step 5090; step_loss: 0.3442
step 5100; step_loss: 0.4001
step 5110; step_loss: 0.3983
step 5120; step_loss: 0.4933
step 5130; step_loss: 0.3267
step 5140; step_loss: 0.3281
step 5150; step_loss: 0.3326
step 5160; step_loss: 0.3299
step 5170; step_loss: 0.2734
step 5180; step_loss: 0.3719
step 5190; step_loss: 0.4288
step 5200; step_loss: 0.3947
step 5210; step_loss: 0.4315
step 5220; step_loss: 0.2773
step 5230; step_loss: 0.3641
step 5240; step_loss: 0.3675
step 5250; step_loss: 0.3136
step 5260; step_loss: 0.3489
step 5270; step_loss: 0.4360
step 5280; step_loss: 0.3238
step 5290; step_loss: 0.5013
step 5300; step_loss: 0.3667
step 5310; step_loss: 0.3742
step 5320; step_loss: 0.3599
step 5330; step_loss: 0.4436
step 5340; step_loss: 0.4256
step 5350; step_loss: 0.3396
step 5360; step_loss: 0.3250
step 5370; step_loss: 0.4343
step 5380; step_loss: 0.4234
step 5390; step_loss: 0.3638
step 5400; step_loss: 0.4053
step 5410; step_loss: 0.3927
step 5420; step_loss: 0.4574
step 5430; step_loss: 0.5115
step 5440; step_loss: 0.3583
step 5450; step_loss: 0.3852
step 5460; step_loss: 0.2929
step 5470; step_loss: 0.4069
step 5480; step_loss: 0.3474
step 5490; step_loss: 0.3097
step 5500; step_loss: 0.3150
step 5510; step_loss: 0.3406
step 5520; step_loss: 0.3293
step 5530; step_loss: 0.4001
step 5540; step_loss: 0.4991
step 5550; step_loss: 0.3360
step 5560; step_loss: 0.3425
step 5570; step_loss: 0.4042
step 5580; step_loss: 0.2734
step 5590; step_loss: 0.3902
step 5600; step_loss: 0.5597
step 5610; step_loss: 0.4312
step 5620; step_loss: 0.4058
step 5630; step_loss: 0.4064
step 5640; step_loss: 0.4169
step 5650; step_loss: 0.3340
step 5660; step_loss: 0.2762
step 5670; step_loss: 0.4473
step 5680; step_loss: 0.3406
step 5690; step_loss: 0.3596
step 5700; step_loss: 0.4188
step 5710; step_loss: 0.3845
step 5720; step_loss: 0.3695
step 5730; step_loss: 0.4422
step 5740; step_loss: 0.4232
step 5750; step_loss: 0.4017
step 5760; step_loss: 0.3735
step 5770; step_loss: 0.5124
step 5780; step_loss: 0.3208
step 5790; step_loss: 0.3750
step 5800; step_loss: 0.2807
step 5810; step_loss: 0.3129
step 5820; step_loss: 0.3757
step 5830; step_loss: 0.3441
step 5840; step_loss: 0.3766
step 5850; step_loss: 0.3838
step 5860; step_loss: 0.4807
step 5870; step_loss: 0.2962
step 5880; step_loss: 0.3878
step 5890; step_loss: 0.3421
step 5900; step_loss: 0.4661
step 5910; step_loss: 0.4782
step 5920; step_loss: 0.3399
step 5930; step_loss: 0.5041
step 5940; step_loss: 0.3404
step 5950; step_loss: 0.3232
step 5960; step_loss: 0.4173
step 5970; step_loss: 0.8639
step 5980; step_loss: 0.4916
step 5990; step_loss: 0.3466

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.374 | 0.656 | 0.994 | 1.141 | 1.366 | 1.815 |

============================
Global step:         6000
Learning rate:       0.0005
Step-time (ms):     33.1845
Train loss avg:      0.3827
--------------------------
Val loss:            0.6206
srnn loss:           0.5167
============================

Saving the model...
done in 344.64 ms
step 6000; step_loss: 0.4034
step 6010; step_loss: 0.3445
step 6020; step_loss: 0.3075
step 6030; step_loss: 0.2540
step 6040; step_loss: 0.3476
step 6050; step_loss: 0.5614
step 6060; step_loss: 0.6966
step 6070; step_loss: 0.3397
step 6080; step_loss: 0.5403
step 6090; step_loss: 0.3279
step 6100; step_loss: 0.4273
step 6110; step_loss: 0.3264
step 6120; step_loss: 0.5238
step 6130; step_loss: 0.3792
step 6140; step_loss: 0.3832
step 6150; step_loss: 0.5474
