step 0000; step_loss: 4812.1289
step 0010; step_loss: 205.4282
step 0020; step_loss: 48.0186
step 0030; step_loss: 24.7494
step 0040; step_loss: 14.7522
step 0050; step_loss: 12.1435
step 0060; step_loss: 6.7882
step 0070; step_loss: 9.8753
step 0080; step_loss: 6.4012
step 0090; step_loss: 5.2010
step 0100; step_loss: 4.2150
step 0110; step_loss: 3.8875
step 0120; step_loss: 3.2679
step 0130; step_loss: 3.2346
step 0140; step_loss: 2.9478
step 0150; step_loss: 3.0870
step 0160; step_loss: 1.9423
step 0170; step_loss: 2.7378
step 0180; step_loss: 1.8967
step 0190; step_loss: 1.6550
step 0200; step_loss: 1.6820
step 0210; step_loss: 1.9215
step 0220; step_loss: 1.6699
step 0230; step_loss: 1.7091
step 0240; step_loss: 1.3719
step 0250; step_loss: 1.6459
step 0260; step_loss: 1.5445
step 0270; step_loss: 1.5049
step 0280; step_loss: 1.8212
step 0290; step_loss: 1.5974
step 0300; step_loss: 1.3417
step 0310; step_loss: 1.3019
step 0320; step_loss: 1.2176
step 0330; step_loss: 1.1643
step 0340; step_loss: 1.5311
step 0350; step_loss: 1.4552
step 0360; step_loss: 1.5611
step 0370; step_loss: 1.4085
step 0380; step_loss: 1.5227
step 0390; step_loss: 1.4125
step 0400; step_loss: 1.2808
step 0410; step_loss: 1.1660
step 0420; step_loss: 1.2906
step 0430; step_loss: 1.1395
step 0440; step_loss: 1.2304
step 0450; step_loss: 0.9868
step 0460; step_loss: 1.0391
step 0470; step_loss: 1.1099
step 0480; step_loss: 1.0502
step 0490; step_loss: 1.0586
step 0500; step_loss: 1.0609
step 0510; step_loss: 1.1710
step 0520; step_loss: 0.9362
step 0530; step_loss: 1.0166
step 0540; step_loss: 1.0891
step 0550; step_loss: 1.2976
step 0560; step_loss: 0.9787
step 0570; step_loss: 1.0106
step 0580; step_loss: 0.8592
step 0590; step_loss: 1.0762
step 0600; step_loss: 1.2504
step 0610; step_loss: 0.9623
step 0620; step_loss: 1.2895
step 0630; step_loss: 1.2527
step 0640; step_loss: 1.5653
step 0650; step_loss: 1.1311
step 0660; step_loss: 1.1371
step 0670; step_loss: 1.3587
step 0680; step_loss: 1.0358
step 0690; step_loss: 1.0759
