step 0000; step_loss: 4990.5830
step 0010; step_loss: 138.1902
step 0020; step_loss: 29.7159
step 0030; step_loss: 10.4133
step 0040; step_loss: 8.5755
step 0050; step_loss: 5.5604
step 0060; step_loss: 4.0178
step 0070; step_loss: 4.2548
step 0080; step_loss: 5.3037
step 0090; step_loss: 3.9880
step 0100; step_loss: 4.4477
step 0110; step_loss: 4.7775
step 0120; step_loss: 3.3861
step 0130; step_loss: 2.8750
step 0140; step_loss: 3.4731
step 0150; step_loss: 2.2610
step 0160; step_loss: 2.4808
step 0170; step_loss: 2.3252
step 0180; step_loss: 3.2970
step 0190; step_loss: 2.1389
step 0200; step_loss: 2.8295
step 0210; step_loss: 2.4677
step 0220; step_loss: 2.8386
step 0230; step_loss: 1.8556
step 0240; step_loss: 1.7470
step 0250; step_loss: 3.2555
step 0260; step_loss: 2.5602
step 0270; step_loss: 3.3358
step 0280; step_loss: 3.0319
step 0290; step_loss: 2.8047
step 0300; step_loss: 2.5766
step 0310; step_loss: 2.1042
step 0320; step_loss: 2.0843
step 0330; step_loss: 1.4538
step 0340; step_loss: 2.3753
step 0350; step_loss: 2.8999
step 0360; step_loss: 2.2808
step 0370; step_loss: 2.0562
step 0380; step_loss: 2.8929
step 0390; step_loss: 3.1309
step 0400; step_loss: 2.2128
step 0410; step_loss: 2.2254
step 0420; step_loss: 5.0835
step 0430; step_loss: 2.3365
step 0440; step_loss: 1.2398
step 0450; step_loss: 2.2886
step 0460; step_loss: 2.0241
step 0470; step_loss: 2.4346
step 0480; step_loss: 1.7048
step 0490; step_loss: 2.2594
step 0500; step_loss: 2.5579
step 0510; step_loss: 2.9346
step 0520; step_loss: 2.2903
step 0530; step_loss: 1.6916
step 0540; step_loss: 1.5950
step 0550; step_loss: 1.4264
step 0560; step_loss: 1.4165
step 0570; step_loss: 1.6924
step 0580; step_loss: 1.6681
step 0590; step_loss: 1.6582
step 0600; step_loss: 1.0953
step 0610; step_loss: 1.6572
step 0620; step_loss: 1.6707
step 0630; step_loss: 1.7406
step 0640; step_loss: 1.5995
step 0650; step_loss: 1.3122
step 0660; step_loss: 2.5951
step 0670; step_loss: 1.6296
step 0680; step_loss: 1.3671
step 0690; step_loss: 1.4396
step 0700; step_loss: 2.1387
step 0710; step_loss: 2.2065
step 0720; step_loss: 1.6900
step 0730; step_loss: 1.5007
step 0740; step_loss: 2.1815
step 0750; step_loss: 1.5428
step 0760; step_loss: 1.5643
step 0770; step_loss: 1.6062
step 0780; step_loss: 1.3984
step 0790; step_loss: 2.5702
step 0800; step_loss: 1.2643
step 0810; step_loss: 1.3648
step 0820; step_loss: 1.7028
step 0830; step_loss: 2.7734
step 0840; step_loss: 1.2048
step 0850; step_loss: 1.4908
step 0860; step_loss: 1.5862
step 0870; step_loss: 2.0862
step 0880; step_loss: 1.5291
step 0890; step_loss: 1.4635
step 0900; step_loss: 1.9222
step 0910; step_loss: 2.3669
step 0920; step_loss: 1.0664
step 0930; step_loss: 1.5783
step 0940; step_loss: 2.2517
step 0950; step_loss: 2.2771
step 0960; step_loss: 2.0821
step 0970; step_loss: 2.1001
step 0980; step_loss: 1.7949
step 0990; step_loss: 2.7592

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.403 | 0.691 | 1.033 | 1.203 | 1.394 | 1.559 |

============================
Global step:         1000
Learning rate:       0.0005
Step-time (ms):     338.7823
Train loss avg:      21.4555
--------------------------
Val loss:            2.0753
srnn loss:           1.7857
============================

Saving the model...
done in 537.90 ms
step 1000; step_loss: 1.8418
step 1010; step_loss: 2.9813
step 1020; step_loss: 1.4828
step 1030; step_loss: 2.4420
step 1040; step_loss: 2.2786
step 1050; step_loss: 2.3461
step 1060; step_loss: 2.3477
step 1070; step_loss: 1.9551
step 1080; step_loss: 1.8176
step 1090; step_loss: 1.7945
step 1100; step_loss: 1.6733
step 1110; step_loss: 2.1218
step 1120; step_loss: 1.9486
step 1130; step_loss: 1.7034
step 1140; step_loss: 1.2648
step 1150; step_loss: 3.0673
step 1160; step_loss: 1.3609
step 1170; step_loss: 1.0455
step 1180; step_loss: 2.2901
step 1190; step_loss: 1.1309
step 1200; step_loss: 1.4364
step 1210; step_loss: 1.6206
step 1220; step_loss: 1.5009
step 1230; step_loss: 1.7013
step 1240; step_loss: 1.4953
step 1250; step_loss: 1.5637
step 1260; step_loss: 1.6069
step 1270; step_loss: 1.4469
step 1280; step_loss: 1.6372
step 1290; step_loss: 1.9193
step 1300; step_loss: 0.8726
step 1310; step_loss: 1.1553
step 1320; step_loss: 1.4711
step 1330; step_loss: 1.3103
step 1340; step_loss: 1.2005
step 1350; step_loss: 1.5493
step 1360; step_loss: 1.1965
step 1370; step_loss: 1.5560
step 1380; step_loss: 1.3030
step 1390; step_loss: 1.3841
step 1400; step_loss: 1.1568
step 1410; step_loss: 1.1451
step 1420; step_loss: 0.9124
step 1430; step_loss: 1.6931
step 1440; step_loss: 1.3549
step 1450; step_loss: 1.3451
step 1460; step_loss: 1.4756
step 1470; step_loss: 1.1563
step 1480; step_loss: 1.2255
step 1490; step_loss: 0.9731
step 1500; step_loss: 1.3754
step 1510; step_loss: 1.2615
step 1520; step_loss: 1.1617
step 1530; step_loss: 1.2367
step 1540; step_loss: 1.0522
step 1550; step_loss: 0.9580
step 1560; step_loss: 1.3080
step 1570; step_loss: 1.0868
step 1580; step_loss: 1.0056
step 1590; step_loss: 0.7218
step 1600; step_loss: 1.4102
step 1610; step_loss: 1.1190
step 1620; step_loss: 1.2798
step 1630; step_loss: 1.1288
step 1640; step_loss: 1.2438
step 1650; step_loss: 1.1239
step 1660; step_loss: 1.6354
step 1670; step_loss: 1.0850
step 1680; step_loss: 1.3944
step 1690; step_loss: 1.7956
step 1700; step_loss: 1.3653
step 1710; step_loss: 1.1942
step 1720; step_loss: 1.0058
step 1730; step_loss: 1.0788
step 1740; step_loss: 1.7201
step 1750; step_loss: 1.5424
step 1760; step_loss: 1.4688
step 1770; step_loss: 1.4450
step 1780; step_loss: 1.5240
step 1790; step_loss: 1.4395
step 1800; step_loss: 1.3609
step 1810; step_loss: 1.3336
step 1820; step_loss: 1.0252
step 1830; step_loss: 1.3280
step 1840; step_loss: 1.3516
step 1850; step_loss: 1.1382
step 1860; step_loss: 1.3170
step 1870; step_loss: 1.1439
step 1880; step_loss: 1.1344
step 1890; step_loss: 1.2537
step 1900; step_loss: 1.3572
step 1910; step_loss: 1.0389
step 1920; step_loss: 1.0527
step 1930; step_loss: 1.2383
step 1940; step_loss: 0.9645
step 1950; step_loss: 0.9958
step 1960; step_loss: 1.0208
step 1970; step_loss: 0.9120
step 1980; step_loss: 0.9000
step 1990; step_loss: 1.0110

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.394 | 0.670 | 0.973 | 1.122 | 1.302 | 1.403 |

============================
Global step:         2000
Learning rate:       0.0005
Step-time (ms):     377.4571
Train loss avg:      1.3824
--------------------------
Val loss:            1.4068
srnn loss:           1.2861
============================

Saving the model...
done in 413.31 ms
step 2000; step_loss: 0.9474
step 2010; step_loss: 1.0718
step 2020; step_loss: 0.9359
step 2030; step_loss: 0.9789
step 2040; step_loss: 0.9327
step 2050; step_loss: 0.8128
step 2060; step_loss: 0.7746
step 2070; step_loss: 1.1769
step 2080; step_loss: 1.2341
step 2090; step_loss: 1.0568
step 2100; step_loss: 1.0290
step 2110; step_loss: 1.0382
step 2120; step_loss: 1.0637
step 2130; step_loss: 1.2501
step 2140; step_loss: 0.7045
step 2150; step_loss: 0.9359
step 2160; step_loss: 0.9003
step 2170; step_loss: 0.8788
step 2180; step_loss: 1.0502
step 2190; step_loss: 0.8505
step 2200; step_loss: 0.8085
step 2210; step_loss: 1.0604
step 2220; step_loss: 0.9723
step 2230; step_loss: 0.7741
step 2240; step_loss: 0.7186
step 2250; step_loss: 0.9867
step 2260; step_loss: 0.7077
step 2270; step_loss: 0.7599
step 2280; step_loss: 0.6816
step 2290; step_loss: 0.6135
step 2300; step_loss: 0.7790
step 2310; step_loss: 0.6803
step 2320; step_loss: 0.7761
step 2330; step_loss: 0.5938
step 2340; step_loss: 0.5124
step 2350; step_loss: 0.7460
step 2360; step_loss: 1.3580
step 2370; step_loss: 2.3639
step 2380; step_loss: 0.8534
step 2390; step_loss: 0.6706
step 2400; step_loss: 0.5613
step 2410; step_loss: 0.6093
step 2420; step_loss: 0.7332
step 2430; step_loss: 0.6272
step 2440; step_loss: 0.5629
step 2450; step_loss: 0.6833
step 2460; step_loss: 0.6446
step 2470; step_loss: 0.5665
step 2480; step_loss: 0.8398
step 2490; step_loss: 1.5982
step 2500; step_loss: 1.0145
step 2510; step_loss: 3.9135
step 2520; step_loss: 1.9482
step 2530; step_loss: 1.9508
step 2540; step_loss: 1.0224
step 2550; step_loss: 1.3844
step 2560; step_loss: 0.9880
step 2570; step_loss: 0.6136
step 2580; step_loss: 0.6457
step 2590; step_loss: 0.6054
step 2600; step_loss: 0.6127
step 2610; step_loss: 0.9245
step 2620; step_loss: 0.6257
step 2630; step_loss: 0.6428
step 2640; step_loss: 0.6826
step 2650; step_loss: 0.5930
step 2660; step_loss: 0.5486
step 2670; step_loss: 0.5744
step 2680; step_loss: 0.7476
step 2690; step_loss: 0.6567
step 2700; step_loss: 0.6598
step 2710; step_loss: 0.5535
step 2720; step_loss: 0.5934
step 2730; step_loss: 1.6424
step 2740; step_loss: 0.5775
step 2750; step_loss: 0.6440
step 2760; step_loss: 0.5772
step 2770; step_loss: 0.5154
step 2780; step_loss: 0.5519
step 2790; step_loss: 0.6992
step 2800; step_loss: 0.5743
step 2810; step_loss: 0.5443
step 2820; step_loss: 0.4854
step 2830; step_loss: 0.5058
step 2840; step_loss: 0.5615
step 2850; step_loss: 0.5589
step 2860; step_loss: 0.5627
step 2870; step_loss: 0.7024
step 2880; step_loss: 0.5741
step 2890; step_loss: 0.5534
step 2900; step_loss: 0.5250
step 2910; step_loss: 0.6076
step 2920; step_loss: 0.7141
