step 2890; step_loss: 0.2583
step 2900; step_loss: 0.2563
step 2910; step_loss: 0.2921
step 2920; step_loss: 0.2519
step 2930; step_loss: 0.2838
step 2940; step_loss: 0.2391
step 2950; step_loss: 0.2180
step 2960; step_loss: 0.2039
step 2970; step_loss: 0.2387
step 2980; step_loss: 0.1974
step 2990; step_loss: 0.2185

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.365 | 0.599 | 0.766 | 0.853 | 1.031 | 1.520 |

============================
Global step:         3000
Learning rate:       0.0005
Step-time (ms):     37.7231
Train loss avg:      0.2658
--------------------------
Val loss:            0.5326
srnn loss:           0.4717
============================

Saving the model...
done in 175.11 ms
step 3000; step_loss: 0.2088
step 3010; step_loss: 0.2309
step 3020; step_loss: 0.1950
step 3030; step_loss: 0.2315
step 3040; step_loss: 0.2138
step 3050; step_loss: 0.2277
step 3060; step_loss: 0.2456
step 3070; step_loss: 0.2837
step 3080; step_loss: 0.2732
step 3090; step_loss: 0.2610
step 3100; step_loss: 0.2821
step 3110; step_loss: 0.2526
step 3120; step_loss: 0.3166
step 3130; step_loss: 0.2811
step 3140; step_loss: 0.1827
step 3150; step_loss: 0.1921
step 3160; step_loss: 0.2521
step 3170; step_loss: 0.2210
step 3180; step_loss: 0.2605
step 3190; step_loss: 0.2258
step 3200; step_loss: 0.1994
step 3210; step_loss: 0.1835
step 3220; step_loss: 0.1997
step 3230; step_loss: 0.2698
step 3240; step_loss: 0.2110
step 3250; step_loss: 0.2039
step 3260; step_loss: 0.3910
step 3270; step_loss: 0.2084
step 3280; step_loss: 0.2497
step 3290; step_loss: 0.2837
step 3300; step_loss: 0.2178
step 3310; step_loss: 0.2159
step 3320; step_loss: 0.2107
step 3330; step_loss: 0.2514
step 3340; step_loss: 0.2188
step 3350; step_loss: 0.1835
step 3360; step_loss: 0.1828
step 3370; step_loss: 0.2581
step 3380; step_loss: 0.2149
step 3390; step_loss: 0.1803
step 3400; step_loss: 0.2447
step 3410; step_loss: 0.2328
step 3420; step_loss: 0.2046
step 3430; step_loss: 0.2428
step 3440; step_loss: 0.2874
step 3450; step_loss: 0.2236
step 3460; step_loss: 0.1856
step 3470; step_loss: 0.1771
step 3480; step_loss: 0.2250
step 3490; step_loss: 0.2478
step 3500; step_loss: 0.1878
step 3510; step_loss: 0.1790
step 3520; step_loss: 0.2151
step 3530; step_loss: 0.2565
step 3540; step_loss: 0.1871
step 3550; step_loss: 0.2302
step 3560; step_loss: 0.1897
step 3570; step_loss: 0.2320
step 3580; step_loss: 0.2090
step 3590; step_loss: 0.2014
step 3600; step_loss: 0.1941
step 3610; step_loss: 0.1991
step 3620; step_loss: 0.1801
step 3630; step_loss: 0.1930
step 3640; step_loss: 0.2289
step 3650; step_loss: 0.2113
step 3660; step_loss: 0.1866
step 3670; step_loss: 0.2310
step 3680; step_loss: 0.2118
step 3690; step_loss: 0.2179
step 3700; step_loss: 0.2379
step 3710; step_loss: 0.2256
step 3720; step_loss: 0.2172
step 3730; step_loss: 0.1953
step 3740; step_loss: 0.3369
step 3750; step_loss: 0.1735
step 3760; step_loss: 0.2156
step 3770; step_loss: 0.1809
step 3780; step_loss: 0.2766
step 3790; step_loss: 0.2201
step 3800; step_loss: 0.2404
step 3810; step_loss: 0.2058
step 3820; step_loss: 0.2796
step 3830; step_loss: 0.2067
step 3840; step_loss: 0.2388
step 3850; step_loss: 0.2132
step 3860; step_loss: 0.1870
step 3870; step_loss: 0.2466
step 3880; step_loss: 0.2452
step 3890; step_loss: 0.2283
step 3900; step_loss: 0.1685
step 3910; step_loss: 0.2265
step 3920; step_loss: 0.2150
step 3930; step_loss: 0.2110
step 3940; step_loss: 0.1733
step 3950; step_loss: 0.2433
step 3960; step_loss: 0.2685
step 3970; step_loss: 0.2026
step 3980; step_loss: 0.2277
step 3990; step_loss: 0.1807

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.347 | 0.547 | 0.720 | 0.807 | 0.999 | 1.430 |

============================
Global step:         4000
Learning rate:       0.0005
Step-time (ms):     37.3572
Train loss avg:      0.2216
--------------------------
Val loss:            0.5589
srnn loss:           0.4662
============================

Saving the model...
done in 168.43 ms
step 4000; step_loss: 0.1860
step 4010; step_loss: 0.1950
step 4020; step_loss: 0.1982
step 4030; step_loss: 0.2396
step 4040; step_loss: 0.2437
step 4050; step_loss: 0.1869
step 4060; step_loss: 0.2233
step 4070; step_loss: 0.1628
step 4080; step_loss: 0.2775
step 4090; step_loss: 0.2281
step 4100; step_loss: 0.1780
step 4110; step_loss: 0.2118
step 4120; step_loss: 0.1843
step 4130; step_loss: 0.1778
step 4140; step_loss: 0.2053
step 4150; step_loss: 0.2093
step 4160; step_loss: 0.1946
step 4170; step_loss: 0.2054
step 4180; step_loss: 0.2331
step 4190; step_loss: 0.1593
step 4200; step_loss: 0.2226
step 4210; step_loss: 0.2782
step 4220; step_loss: 0.1935
step 4230; step_loss: 0.2347
step 4240; step_loss: 0.1844
step 4250; step_loss: 0.2471
step 4260; step_loss: 0.2360
step 4270; step_loss: 0.1818
step 4280; step_loss: 0.1649
step 4290; step_loss: 0.2474
step 4300; step_loss: 0.2552
step 4310; step_loss: 0.2084
step 4320; step_loss: 0.1466
step 4330; step_loss: 0.1597
step 4340; step_loss: 0.1785
step 4350; step_loss: 0.1794
step 4360; step_loss: 0.1682
step 4370; step_loss: 0.1803
step 4380; step_loss: 0.1672
step 4390; step_loss: 0.2719
step 4400; step_loss: 0.1489
step 4410; step_loss: 0.1881
step 4420; step_loss: 0.1858
step 4430; step_loss: 0.2446
step 4440; step_loss: 0.1577
step 4450; step_loss: 0.1912
step 4460; step_loss: 0.1477
step 4470; step_loss: 0.1983
step 4480; step_loss: 0.1538
step 4490; step_loss: 0.1746
step 4500; step_loss: 0.2040
step 4510; step_loss: 0.1634
step 4520; step_loss: 0.1800
step 4530; step_loss: 0.2428
step 4540; step_loss: 0.1441
step 4550; step_loss: 0.1589
step 4560; step_loss: 0.1648
step 4570; step_loss: 0.1638
step 4580; step_loss: 0.1965
step 4590; step_loss: 0.1752
step 4600; step_loss: 0.2320
step 4610; step_loss: 0.1671
step 4620; step_loss: 0.1797
step 4630; step_loss: 0.2780
step 4640; step_loss: 0.1686
step 4650; step_loss: 0.1966
step 4660; step_loss: 0.1931
step 4670; step_loss: 0.2998
step 4680; step_loss: 0.2192
step 4690; step_loss: 0.1779
step 4700; step_loss: 0.1925
step 4710; step_loss: 0.1928
step 4720; step_loss: 0.1961
step 4730; step_loss: 0.1730
step 4740; step_loss: 0.2274
step 4750; step_loss: 0.1806
step 4760; step_loss: 0.2189
step 4770; step_loss: 0.1875
step 4780; step_loss: 0.1523
step 4790; step_loss: 0.1939
step 4800; step_loss: 0.1514
step 4810; step_loss: 0.1648
step 4820; step_loss: 0.1638
step 4830; step_loss: 0.1610
step 4840; step_loss: 0.1552
step 4850; step_loss: 0.1684
step 4860; step_loss: 0.1759
step 4870; step_loss: 0.2302
step 4880; step_loss: 0.2167
step 4890; step_loss: 0.1760
step 4900; step_loss: 0.1696
step 4910; step_loss: 0.2378
step 4920; step_loss: 0.1454
step 4930; step_loss: 0.1666
step 4940; step_loss: 0.1614
step 4950; step_loss: 0.1545
step 4960; step_loss: 0.2213
step 4970; step_loss: 0.1646
step 4980; step_loss: 0.1560
step 4990; step_loss: 0.1248

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.335 | 0.516 | 0.688 | 0.771 | 0.945 | 1.354 |

============================
Global step:         5000
Learning rate:       0.0005
Step-time (ms):     37.6042
Train loss avg:      0.1914
--------------------------
Val loss:            0.5726
srnn loss:           0.4111
============================

Saving the model...
done in 190.52 ms
step 5000; step_loss: 0.1607
step 5010; step_loss: 0.1776
step 5020; step_loss: 0.1848
step 5030; step_loss: 0.1795
step 5040; step_loss: 0.1649
step 5050; step_loss: 0.1728
step 5060; step_loss: 0.1850
step 5070; step_loss: 0.2230
step 5080; step_loss: 0.1953
step 5090; step_loss: 0.1685
step 5100; step_loss: 0.1431
step 5110; step_loss: 0.1546
step 5120; step_loss: 0.1934
step 5130; step_loss: 0.1987
step 5140; step_loss: 0.1872
step 5150; step_loss: 0.1677
step 5160; step_loss: 0.1654
step 5170; step_loss: 0.1344
step 5180; step_loss: 0.1587
step 5190; step_loss: 0.1721
step 5200; step_loss: 0.1287
step 5210; step_loss: 0.1173
step 5220; step_loss: 0.1399
step 5230; step_loss: 0.1610
step 5240; step_loss: 0.1386
step 5250; step_loss: 0.1690
step 5260; step_loss: 0.1264
step 5270; step_loss: 0.1444
step 5280; step_loss: 0.1876
step 5290; step_loss: 0.1761
step 5300; step_loss: 0.1540
step 5310; step_loss: 0.1925
step 5320; step_loss: 0.1966
step 5330; step_loss: 0.1540
step 5340; step_loss: 0.1786
step 5350; step_loss: 0.1929
step 5360; step_loss: 0.1646
step 5370; step_loss: 0.1643
step 5380; step_loss: 0.1463
step 5390; step_loss: 0.1115
step 5400; step_loss: 0.1757
step 5410; step_loss: 0.1367
step 5420; step_loss: 0.1649
step 5430; step_loss: 0.1918
step 5440; step_loss: 0.1481
step 5450; step_loss: 0.1038
step 5460; step_loss: 0.1587
step 5470; step_loss: 0.1219
step 5480; step_loss: 0.1375
step 5490; step_loss: 0.1475
step 5500; step_loss: 0.1894
step 5510; step_loss: 0.1489
step 5520; step_loss: 0.1532
step 5530; step_loss: 0.1934
step 5540; step_loss: 0.1861
step 5550; step_loss: 0.1649
step 5560; step_loss: 0.2008
step 5570; step_loss: 0.1286
step 5580; step_loss: 0.1766
step 5590; step_loss: 0.2128
step 5600; step_loss: 0.1462
step 5610; step_loss: 0.1899
step 5620; step_loss: 0.2046
step 5630; step_loss: 0.1377
step 5640; step_loss: 0.1850
step 5650; step_loss: 0.1706
step 5660; step_loss: 0.1349
step 5670; step_loss: 0.2083
step 5680; step_loss: 0.1250
step 5690; step_loss: 0.1305
step 5700; step_loss: 0.1313
step 5710; step_loss: 0.1420
step 5720; step_loss: 0.1754
step 5730; step_loss: 0.1859
step 5740; step_loss: 0.1457
step 5750; step_loss: 0.1215
step 5760; step_loss: 0.1515
step 5770; step_loss: 0.1826
step 5780; step_loss: 0.1366
step 5790; step_loss: 0.1385
step 5800; step_loss: 0.1599
step 5810; step_loss: 0.1632
step 5820; step_loss: 0.1478
step 5830; step_loss: 0.1732
step 5840; step_loss: 0.1307
step 5850; step_loss: 0.1434
step 5860; step_loss: 0.1456
step 5870; step_loss: 0.1914
step 5880; step_loss: 0.1391
step 5890; step_loss: 0.1472
step 5900; step_loss: 0.1191
step 5910; step_loss: 0.1753
step 5920; step_loss: 0.1617
step 5930; step_loss: 0.1436
step 5940; step_loss: 0.1775
step 5950; step_loss: 0.1733
step 5960; step_loss: 0.1941
step 5970; step_loss: 0.1313
step 5980; step_loss: 0.1595
step 5990; step_loss: 0.1265

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.325 | 0.498 | 0.698 | 0.777 | 0.928 | 1.324 |

============================
Global step:         6000
Learning rate:       0.0005
Step-time (ms):     37.2109
Train loss avg:      0.1666
--------------------------
Val loss:            0.5347
srnn loss:           0.4330
============================

Saving the model...
done in 188.16 ms
step 6000; step_loss: 0.1322
step 6010; step_loss: 0.1481
step 6020; step_loss: 0.1297
step 6030; step_loss: 0.1352
step 6040; step_loss: 0.1682
step 6050; step_loss: 0.1354
step 6060; step_loss: 0.2318
step 6070; step_loss: 0.1380
step 6080; step_loss: 0.1398
step 6090; step_loss: 0.1787
step 6100; step_loss: 0.1257
step 6110; step_loss: 0.2009
step 6120; step_loss: 0.1369
step 6130; step_loss: 0.1440
step 6140; step_loss: 0.1386
step 6150; step_loss: 0.1340
step 6160; step_loss: 0.1800
step 6170; step_loss: 0.1102
step 6180; step_loss: 0.1438
step 6190; step_loss: 0.1152
step 6200; step_loss: 0.1691
step 6210; step_loss: 0.1590
step 6220; step_loss: 0.1684
step 6230; step_loss: 0.1174
step 6240; step_loss: 0.1408
step 6250; step_loss: 0.1178
step 6260; step_loss: 0.1669
step 6270; step_loss: 0.1395
step 6280; step_loss: 0.1590
step 6290; step_loss: 0.1295
step 6300; step_loss: 0.1603
step 6310; step_loss: 0.1507
step 6320; step_loss: 0.1517
step 6330; step_loss: 0.1605
step 6340; step_loss: 0.0934
step 6350; step_loss: 0.1390
step 6360; step_loss: 0.1301
step 6370; step_loss: 0.1621
step 6380; step_loss: 0.1433
step 6390; step_loss: 0.1336
step 6400; step_loss: 0.1299
step 6410; step_loss: 0.1217
step 6420; step_loss: 0.1401
step 6430; step_loss: 0.1609
step 6440; step_loss: 0.1315
step 6450; step_loss: 0.1322
step 6460; step_loss: 0.1471
step 6470; step_loss: 0.1334
step 6480; step_loss: 0.1343
step 6490; step_loss: 0.1700
step 6500; step_loss: 0.1294
step 6510; step_loss: 0.1309
step 6520; step_loss: 0.1439
step 6530; step_loss: 0.1243
step 6540; step_loss: 0.1453
step 6550; step_loss: 0.1869
step 6560; step_loss: 0.1058
step 6570; step_loss: 0.1028
step 6580; step_loss: 0.1246
step 6590; step_loss: 0.1791
step 6600; step_loss: 0.1178
step 6610; step_loss: 0.1062
step 6620; step_loss: 0.1277
step 6630; step_loss: 0.1707
step 6640; step_loss: 0.1514
step 6650; step_loss: 0.1397
step 6660; step_loss: 0.1413
step 6670; step_loss: 0.1307
step 6680; step_loss: 0.1497
step 6690; step_loss: 0.1203
step 6700; step_loss: 0.1505
step 6710; step_loss: 0.1307
step 6720; step_loss: 0.1120
step 6730; step_loss: 0.1185
step 6740; step_loss: 0.1421
step 6750; step_loss: 0.1532
step 6760; step_loss: 0.1651
step 6770; step_loss: 0.1623
step 6780; step_loss: 0.1025
step 6790; step_loss: 0.1159
step 6800; step_loss: 0.1215
step 6810; step_loss: 0.1156
step 6820; step_loss: 0.1503
step 6830; step_loss: 0.1068
step 6840; step_loss: 0.1061
step 6850; step_loss: 0.1067
step 6860; step_loss: 0.1313
step 6870; step_loss: 0.1732
step 6880; step_loss: 0.1303
step 6890; step_loss: 0.1315
step 6900; step_loss: 0.1188
step 6910; step_loss: 0.1245
step 6920; step_loss: 0.1183
step 6930; step_loss: 0.1613
step 6940; step_loss: 0.1281
step 6950; step_loss: 0.1574
step 6960; step_loss: 0.1468
step 6970; step_loss: 0.1232
