step 1890; step_loss: 0.3335
step 1900; step_loss: 0.3034
step 1910; step_loss: 0.3855
step 1920; step_loss: 0.2917
step 1930; step_loss: 0.3163
step 1940; step_loss: 0.2164
step 1950; step_loss: 0.5476
step 1960; step_loss: 0.5161
step 1970; step_loss: 0.2847
step 1980; step_loss: 0.2904
step 1990; step_loss: 0.4188

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.370 | 0.594 | 0.741 | 0.822 | 0.966 | 1.319 |

============================
Global step:         2000
Learning rate:       0.0005
Step-time (ms):     39.2028
Train loss avg:      0.3632
--------------------------
Val loss:            0.5248
srnn loss:           0.4066
============================

Saving the model...
done in 173.10 ms
step 2000; step_loss: 0.3832
step 2010; step_loss: 0.3304
step 2020; step_loss: 0.3962
step 2030; step_loss: 0.3642
step 2040; step_loss: 0.2939
step 2050; step_loss: 0.2595
step 2060; step_loss: 0.2886
step 2070; step_loss: 0.2554
step 2080; step_loss: 0.3396
step 2090; step_loss: 0.4318
step 2100; step_loss: 0.2584
step 2110; step_loss: 0.3209
step 2120; step_loss: 0.3820
step 2130; step_loss: 0.3393
step 2140; step_loss: 0.3785
step 2150; step_loss: 0.3891
step 2160; step_loss: 0.3482
step 2170; step_loss: 0.3960
step 2180; step_loss: 0.2812
step 2190; step_loss: 0.3139
step 2200; step_loss: 0.3399
step 2210; step_loss: 0.2953
step 2220; step_loss: 0.3475
step 2230; step_loss: 0.2853
step 2240; step_loss: 0.2434
step 2250; step_loss: 0.3913
step 2260; step_loss: 0.3181
step 2270; step_loss: 0.2820
step 2280; step_loss: 0.2983
step 2290; step_loss: 0.3876
step 2300; step_loss: 0.3949
step 2310; step_loss: 0.2517
step 2320; step_loss: 0.3392
step 2330; step_loss: 0.2586
step 2340; step_loss: 0.2864
step 2350; step_loss: 0.2408
step 2360; step_loss: 0.2624
step 2370; step_loss: 0.2605
step 2380; step_loss: 0.3984
step 2390; step_loss: 0.2343
step 2400; step_loss: 0.2888
step 2410; step_loss: 0.2706
step 2420; step_loss: 0.2511
step 2430; step_loss: 0.3544
step 2440; step_loss: 0.2573
step 2450; step_loss: 0.4977
step 2460; step_loss: 0.2394
step 2470; step_loss: 0.3034
step 2480; step_loss: 0.3873
step 2490; step_loss: 0.2593
step 2500; step_loss: 0.3053
step 2510; step_loss: 0.2838
step 2520; step_loss: 0.2991
step 2530; step_loss: 0.2552
step 2540; step_loss: 0.2387
step 2550; step_loss: 0.2844
step 2560; step_loss: 0.3350
step 2570; step_loss: 0.2713
step 2580; step_loss: 0.3301
step 2590; step_loss: 0.2982
step 2600; step_loss: 0.2975
step 2610; step_loss: 0.2823
step 2620; step_loss: 0.2597
step 2630; step_loss: 0.2874
step 2640; step_loss: 0.3041
step 2650; step_loss: 0.2827
step 2660; step_loss: 0.3146
step 2670; step_loss: 0.3267
step 2680; step_loss: 0.3030
step 2690; step_loss: 0.3114
step 2700; step_loss: 0.4023
step 2710; step_loss: 0.2642
step 2720; step_loss: 0.2651
step 2730; step_loss: 0.1959
step 2740; step_loss: 0.3015
step 2750; step_loss: 0.2850
step 2760; step_loss: 0.2815
step 2770; step_loss: 0.3498
step 2780; step_loss: 0.3341
step 2790; step_loss: 0.2611
step 2800; step_loss: 0.4006
step 2810; step_loss: 0.2383
step 2820; step_loss: 0.2870
step 2830; step_loss: 0.2163
step 2840; step_loss: 0.2965
step 2850; step_loss: 0.3042
step 2860; step_loss: 0.2566
step 2870; step_loss: 0.3390
step 2880; step_loss: 0.2698
step 2890; step_loss: 0.2669
step 2900; step_loss: 0.2636
step 2910; step_loss: 0.2397
step 2920; step_loss: 0.2828
step 2930; step_loss: 0.2285
step 2940; step_loss: 0.2642
step 2950; step_loss: 0.3451
step 2960; step_loss: 0.1937
step 2970; step_loss: 0.2655
step 2980; step_loss: 0.3556
step 2990; step_loss: 0.2906

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.366 | 0.575 | 0.734 | 0.817 | 0.950 | 1.437 |

============================
Global step:         3000
Learning rate:       0.0005
Step-time (ms):     38.2830
Train loss avg:      0.2967
--------------------------
Val loss:            0.5247
srnn loss:           0.4334
============================

Saving the model...
done in 176.57 ms
step 3000; step_loss: 0.2722
step 3010; step_loss: 0.2711
step 3020; step_loss: 0.2285
step 3030; step_loss: 0.3046
step 3040; step_loss: 0.2539
step 3050; step_loss: 0.2706
step 3060; step_loss: 0.2257
step 3070; step_loss: 0.2543
step 3080; step_loss: 0.2735
step 3090; step_loss: 0.2709
step 3100; step_loss: 0.2568
step 3110; step_loss: 0.2885
step 3120; step_loss: 0.2472
step 3130; step_loss: 0.3244
step 3140; step_loss: 0.3526
step 3150; step_loss: 0.2773
step 3160; step_loss: 0.2320
step 3170; step_loss: 0.2000
step 3180; step_loss: 0.2275
step 3190; step_loss: 0.3451
step 3200; step_loss: 0.2899
step 3210; step_loss: 0.2806
step 3220; step_loss: 0.2370
step 3230; step_loss: 0.2607
step 3240; step_loss: 0.2889
step 3250; step_loss: 0.2366
step 3260; step_loss: 0.2390
step 3270; step_loss: 0.2481
step 3280; step_loss: 0.2765
step 3290; step_loss: 0.2005
step 3300; step_loss: 0.2226
step 3310; step_loss: 0.2684
step 3320; step_loss: 0.2226
step 3330; step_loss: 0.2915
step 3340; step_loss: 0.2737
step 3350; step_loss: 0.3331
step 3360; step_loss: 0.2145
step 3370; step_loss: 0.2260
step 3380; step_loss: 0.2122
step 3390; step_loss: 0.2672
step 3400; step_loss: 0.1933
step 3410; step_loss: 0.2045
step 3420; step_loss: 0.2268
step 3430; step_loss: 0.2360
step 3440; step_loss: 0.2722
step 3450; step_loss: 0.2660
step 3460; step_loss: 0.2684
step 3470; step_loss: 0.2656
step 3480; step_loss: 0.4793
step 3490; step_loss: 0.3050
step 3500; step_loss: 0.2257
step 3510; step_loss: 0.2266
step 3520; step_loss: 0.2745
step 3530; step_loss: 0.2261
step 3540; step_loss: 0.1931
step 3550; step_loss: 0.2936
step 3560; step_loss: 0.2393
step 3570; step_loss: 0.2847
step 3580; step_loss: 0.2315
step 3590; step_loss: 0.2152
step 3600; step_loss: 0.2781
step 3610; step_loss: 0.2348
step 3620; step_loss: 0.2244
step 3630; step_loss: 0.2660
step 3640; step_loss: 0.2747
step 3650; step_loss: 0.2909
step 3660; step_loss: 0.2228
step 3670; step_loss: 0.2214
step 3680; step_loss: 0.1902
step 3690; step_loss: 0.2222
step 3700; step_loss: 0.2185
step 3710; step_loss: 0.2719
step 3720; step_loss: 0.2525
step 3730; step_loss: 0.2703
step 3740; step_loss: 0.2393
step 3750; step_loss: 0.2562
step 3760; step_loss: 0.2239
step 3770; step_loss: 0.2201
step 3780; step_loss: 0.2202
step 3790; step_loss: 0.3090
step 3800; step_loss: 0.2593
step 3810; step_loss: 0.2424
step 3820; step_loss: 0.2204
step 3830; step_loss: 0.2750
step 3840; step_loss: 0.2863
step 3850; step_loss: 0.2313
step 3860; step_loss: 0.2487
step 3870; step_loss: 0.2278
step 3880; step_loss: 0.2936
step 3890; step_loss: 0.3376
step 3900; step_loss: 0.2080
step 3910; step_loss: 0.2376
step 3920; step_loss: 0.3464
step 3930; step_loss: 0.2707
step 3940; step_loss: 0.2349
step 3950; step_loss: 0.2150
step 3960; step_loss: 0.2373
step 3970; step_loss: 0.2253
step 3980; step_loss: 0.2115
step 3990; step_loss: 0.2175

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.348 | 0.540 | 0.743 | 0.854 | 1.000 | 1.421 |

============================
Global step:         4000
Learning rate:       0.0005
Step-time (ms):     38.1162
Train loss avg:      0.2498
--------------------------
Val loss:            0.5314
srnn loss:           0.4286
============================

Saving the model...
done in 174.94 ms
step 4000; step_loss: 0.1760
step 4010; step_loss: 0.2385
step 4020; step_loss: 0.1712
step 4030; step_loss: 0.2214
step 4040; step_loss: 0.2888
step 4050; step_loss: 0.2794
step 4060; step_loss: 0.2200
step 4070; step_loss: 0.2961
step 4080; step_loss: 0.2537
step 4090; step_loss: 0.2825
step 4100; step_loss: 0.2210
step 4110; step_loss: 0.2511
step 4120; step_loss: 0.1961
step 4130; step_loss: 0.3478
step 4140; step_loss: 0.2165
step 4150; step_loss: 0.2232
step 4160; step_loss: 0.2089
step 4170; step_loss: 0.2584
step 4180; step_loss: 0.2406
step 4190; step_loss: 0.2203
step 4200; step_loss: 0.2234
step 4210; step_loss: 0.2520
step 4220; step_loss: 0.2307
step 4230; step_loss: 0.2105
step 4240; step_loss: 0.2040
step 4250; step_loss: 0.1616
step 4260; step_loss: 0.2141
step 4270; step_loss: 0.2435
step 4280; step_loss: 0.1809
step 4290; step_loss: 0.1829
step 4300; step_loss: 0.2952
step 4310; step_loss: 0.2136
step 4320; step_loss: 0.2099
step 4330; step_loss: 0.2718
step 4340; step_loss: 0.1771
step 4350; step_loss: 0.2366
step 4360; step_loss: 0.2652
step 4370; step_loss: 0.2551
step 4380; step_loss: 0.1949
step 4390; step_loss: 0.1987
step 4400; step_loss: 0.3034
step 4410; step_loss: 0.2607
step 4420; step_loss: 0.1624
step 4430; step_loss: 0.1850
step 4440; step_loss: 0.2402
step 4450; step_loss: 0.2296
step 4460; step_loss: 0.2368
step 4470; step_loss: 0.2189
step 4480; step_loss: 0.2275
step 4490; step_loss: 0.1890
step 4500; step_loss: 0.1857
step 4510; step_loss: 0.1700
step 4520; step_loss: 0.1624
step 4530; step_loss: 0.2091
step 4540; step_loss: 0.1933
step 4550; step_loss: 0.2177
step 4560; step_loss: 0.1873
step 4570; step_loss: 0.1992
step 4580; step_loss: 0.2422
step 4590; step_loss: 0.2079
step 4600; step_loss: 0.1797
step 4610; step_loss: 0.2426
step 4620; step_loss: 0.1596
step 4630; step_loss: 0.2248
step 4640; step_loss: 0.2535
step 4650; step_loss: 0.1858
step 4660; step_loss: 0.2030
step 4670; step_loss: 0.1903
step 4680; step_loss: 0.2020
step 4690; step_loss: 0.2007
step 4700; step_loss: 0.2168
step 4710; step_loss: 0.1808
step 4720; step_loss: 0.1794
step 4730; step_loss: 0.2025
step 4740; step_loss: 0.2050
step 4750; step_loss: 0.2429
step 4760; step_loss: 0.2666
step 4770; step_loss: 0.2265
step 4780; step_loss: 0.1795
step 4790; step_loss: 0.2846
step 4800; step_loss: 0.1945
step 4810; step_loss: 0.2099
step 4820; step_loss: 0.1784
step 4830; step_loss: 0.1954
step 4840; step_loss: 0.2245
step 4850; step_loss: 0.1914
step 4860; step_loss: 0.2043
step 4870; step_loss: 0.2130
step 4880; step_loss: 0.1844
step 4890; step_loss: 0.1685
step 4900; step_loss: 0.1893
step 4910; step_loss: 0.1770
step 4920; step_loss: 0.1652
step 4930; step_loss: 0.2454
step 4940; step_loss: 0.2083
step 4950; step_loss: 0.2460
step 4960; step_loss: 0.1985
step 4970; step_loss: 0.1506
step 4980; step_loss: 0.1706
step 4990; step_loss: 0.1748

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.337 | 0.516 | 0.771 | 0.892 | 1.001 | 1.403 |

============================
Global step:         5000
Learning rate:       0.0005
Step-time (ms):     38.3193
Train loss avg:      0.2167
--------------------------
Val loss:            0.5621
srnn loss:           0.4595
============================

Saving the model...
done in 181.77 ms
step 5000; step_loss: 0.1757
step 5010; step_loss: 0.2268
step 5020; step_loss: 0.1855
step 5030; step_loss: 0.1980
