step 1880; step_loss: 0.5194
step 1890; step_loss: 0.5122
step 1900; step_loss: 0.5071
step 1910; step_loss: 0.4946
step 1920; step_loss: 0.4980
step 1930; step_loss: 0.4981
step 1940; step_loss: 0.4963
step 1950; step_loss: 0.4837
step 1960; step_loss: 0.6871
step 1970; step_loss: 0.5133
step 1980; step_loss: 0.5079
step 1990; step_loss: 0.6285

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.391 | 0.665 | 0.917 | 1.050 | 1.168 | 1.106 |

============================
Global step:         2000
Learning rate:       0.0005
Step-time (ms):     2995.8872
Train loss avg:      1.0116
--------------------------
Val loss:            0.8202
srnn loss:           0.6820
============================

Saving the model...
done in 1380.66 ms
step 2000; step_loss: 0.5856
step 2010; step_loss: 0.4157
step 2020; step_loss: 0.6385
step 2030; step_loss: 0.5479
step 2040; step_loss: 0.5754
step 2050; step_loss: 0.6120
step 2060; step_loss: 0.6015
step 2070; step_loss: 0.4587
step 2080; step_loss: 0.5798
step 2090; step_loss: 0.6347
step 2100; step_loss: 0.4492
step 2110; step_loss: 0.5219
step 2120; step_loss: 0.5972
step 2130; step_loss: 0.5336
step 2140; step_loss: 0.4924
step 2150; step_loss: 0.6358
step 2160; step_loss: 0.5167
step 2170; step_loss: 0.5483
step 2180; step_loss: 0.5261
step 2190; step_loss: 0.9936
step 2200; step_loss: 0.5089
step 2210; step_loss: 0.3812
step 2220; step_loss: 0.5188
step 2230; step_loss: 0.6823
step 2240; step_loss: 0.7484
step 2250; step_loss: 0.6176
step 2260; step_loss: 0.4286
step 2270; step_loss: 0.4475
step 2280; step_loss: 0.3716
step 2290; step_loss: 0.5386
step 2300; step_loss: 0.5740
step 2310; step_loss: 0.5135
step 2320; step_loss: 0.6150
step 2330; step_loss: 0.5181
step 2340; step_loss: 0.6001
step 2350; step_loss: 0.5867
step 2360; step_loss: 0.6426
step 2370; step_loss: 0.5413
step 2380; step_loss: 0.5426
step 2390; step_loss: 0.5806
step 2400; step_loss: 0.5802
step 2410; step_loss: 0.5576
step 2420; step_loss: 0.5894
step 2430; step_loss: 0.4417
step 2440; step_loss: 0.5933
step 2450; step_loss: 0.4948
step 2460; step_loss: 0.4672
step 2470; step_loss: 0.5033
step 2480; step_loss: 0.5927
step 2490; step_loss: 0.5460
step 2500; step_loss: 0.4547
step 2510; step_loss: 0.5614
step 2520; step_loss: 0.5375
step 2530; step_loss: 0.4703
step 2540; step_loss: 0.4453
step 2550; step_loss: 0.6117
step 2560; step_loss: 0.5950
step 2570; step_loss: 0.4685
step 2580; step_loss: 0.5199
step 2590; step_loss: 0.4655
step 2600; step_loss: 0.7939
step 2610; step_loss: 0.5775
step 2620; step_loss: 0.5423
step 2630; step_loss: 0.4544
step 2640; step_loss: 0.9475
step 2650; step_loss: 0.3585
step 2660; step_loss: 0.6185
step 2670; step_loss: 0.4478
step 2680; step_loss: 0.5733
step 2690; step_loss: 0.5002
step 2700; step_loss: 0.5211
step 2710; step_loss: 0.5137
step 2720; step_loss: 0.5726
step 2730; step_loss: 0.5414
step 2740; step_loss: 0.5353
step 2750; step_loss: 0.4864
step 2760; step_loss: 0.4902
step 2770; step_loss: 0.5943
step 2780; step_loss: 0.5245
step 2790; step_loss: 0.4905
step 2800; step_loss: 0.5674
step 2810; step_loss: 0.4759
step 2820; step_loss: 0.5509
step 2830; step_loss: 0.5599
step 2840; step_loss: 0.4559
step 2850; step_loss: 0.5288
step 2860; step_loss: 0.5287
step 2870; step_loss: 0.4981
step 2880; step_loss: 0.3894
step 2890; step_loss: 0.5872
step 2900; step_loss: 0.5997
step 2910; step_loss: 0.5442
step 2920; step_loss: 0.5501
step 2930; step_loss: 0.4804
step 2940; step_loss: 0.4737
step 2950; step_loss: 0.5445
step 2960; step_loss: 0.9221
step 2970; step_loss: 0.3812
step 2980; step_loss: 0.5120
step 2990; step_loss: 0.5591

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.375 | 0.630 | 0.794 | 0.874 | 0.978 | 1.125 |

============================
Global step:         3000
Learning rate:       0.0005
Step-time (ms):     2978.0628
Train loss avg:      0.5343
--------------------------
Val loss:            0.8840
srnn loss:           0.7430
============================

Saving the model...
done in 1777.01 ms
step 3000; step_loss: 0.5988
step 3010; step_loss: 0.5985
step 3020; step_loss: 0.5649
step 3030; step_loss: 0.4729
step 3040; step_loss: 0.4552
step 3050; step_loss: 0.4717
step 3060; step_loss: 0.5256
step 3070; step_loss: 0.5010
step 3080; step_loss: 0.5409
step 3090; step_loss: 0.3821
step 3100; step_loss: 0.5919
step 3110; step_loss: 0.5775
step 3120; step_loss: 0.4431
step 3130; step_loss: 0.5113
step 3140; step_loss: 0.4208
step 3150; step_loss: 0.3508
step 3160; step_loss: 0.4799
step 3170; step_loss: 0.5831
step 3180; step_loss: 0.5117
step 3190; step_loss: 0.5285
step 3200; step_loss: 0.5209
step 3210; step_loss: 0.5016
step 3220; step_loss: 0.5000
step 3230; step_loss: 0.4547
step 3240; step_loss: 0.4968
step 3250; step_loss: 0.4713
step 3260; step_loss: 0.4477
step 3270; step_loss: 0.5203
step 3280; step_loss: 0.5066
step 3290; step_loss: 0.4488
step 3300; step_loss: 0.4981
step 3310; step_loss: 0.5204
step 3320; step_loss: 0.5476
step 3330; step_loss: 0.4038
step 3340; step_loss: 0.5865
step 3350; step_loss: 0.5302
step 3360; step_loss: 0.4279
step 3370; step_loss: 0.6297
step 3380; step_loss: 0.5298
step 3390; step_loss: 0.4626
step 3400; step_loss: 0.3907
step 3410; step_loss: 0.4461
step 3420; step_loss: 0.4612
step 3430; step_loss: 0.4295
step 3440; step_loss: 0.4391
step 3450; step_loss: 0.4211
step 3460; step_loss: 0.4560
step 3470; step_loss: 0.5141
step 3480; step_loss: 0.5227
step 3490; step_loss: 0.4604
step 3500; step_loss: 0.3893
step 3510; step_loss: 0.4669
step 3520; step_loss: 0.5068
step 3530; step_loss: 0.4644
step 3540; step_loss: 0.3781
step 3550; step_loss: 0.4337
step 3560; step_loss: 0.5129
step 3570; step_loss: 0.4876
step 3580; step_loss: 0.5000
step 3590; step_loss: 0.5207
step 3600; step_loss: 0.5283
step 3610; step_loss: 0.4586
step 3620; step_loss: 0.4609
step 3630; step_loss: 0.4967
step 3640; step_loss: 0.4822
step 3650; step_loss: 0.4880
step 3660; step_loss: 0.4553
step 3670; step_loss: 0.5585
step 3680; step_loss: 0.4486
step 3690; step_loss: 0.4576
step 3700; step_loss: 0.4703
step 3710; step_loss: 0.4635
step 3720; step_loss: 0.5202
step 3730; step_loss: 0.5587
step 3740; step_loss: 0.5071
step 3750; step_loss: 0.6048
step 3760; step_loss: 0.5413
step 3770; step_loss: 0.4600
step 3780; step_loss: 0.5137
step 3790; step_loss: 0.4584
step 3800; step_loss: 0.4721
step 3810; step_loss: 0.4383
step 3820; step_loss: 0.4640
step 3830; step_loss: 0.4785
step 3840; step_loss: 0.4232
step 3850; step_loss: 0.4186
step 3860; step_loss: 0.6255
step 3870; step_loss: 0.4817
step 3880; step_loss: 0.4189
step 3890; step_loss: 0.4483
step 3900; step_loss: 0.3818
step 3910; step_loss: 0.4769
step 3920; step_loss: 0.5144
step 3930; step_loss: 0.4712
step 3940; step_loss: 0.4188
step 3950; step_loss: 0.4043
step 3960; step_loss: 0.4536
step 3970; step_loss: 0.4835
step 3980; step_loss: 0.5050
step 3990; step_loss: 0.5071

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.373 | 0.622 | 0.745 | 0.815 | 0.927 | 1.071 |

============================
Global step:         4000
Learning rate:       0.0005
Step-time (ms):     3147.9925
Train loss avg:      0.4859
--------------------------
Val loss:            0.8517
srnn loss:           0.7676
============================

Saving the model...
done in 1421.88 ms
step 4000; step_loss: 0.4298
step 4010; step_loss: 0.5777
step 4020; step_loss: 0.5359
step 4030; step_loss: 0.5273
step 4040; step_loss: 0.4758
step 4050; step_loss: 0.4531
step 4060; step_loss: 0.4994
step 4070; step_loss: 0.4172
step 4080; step_loss: 0.5107
step 4090; step_loss: 0.4090
step 4100; step_loss: 0.4509
step 4110; step_loss: 0.4861
step 4120; step_loss: 0.4960
step 4130; step_loss: 0.4135
step 4140; step_loss: 0.3933
step 4150; step_loss: 0.3511
step 4160; step_loss: 0.4190
step 4170; step_loss: 0.4802
step 4180; step_loss: 0.4439
step 4190; step_loss: 0.4738
step 4200; step_loss: 0.4441
step 4210; step_loss: 0.3814
step 4220; step_loss: 0.4909
step 4230; step_loss: 0.3729
step 4240; step_loss: 0.4077
step 4250; step_loss: 0.4528
step 4260; step_loss: 0.4313
step 4270; step_loss: 0.5798
step 4280; step_loss: 0.3885
step 4290; step_loss: 0.4512
step 4300; step_loss: 0.4044
step 4310; step_loss: 0.4183
step 4320; step_loss: 0.5164
step 4330; step_loss: 0.5583
step 4340; step_loss: 0.4841
step 4350; step_loss: 0.5259
step 4360; step_loss: 0.3839
step 4370; step_loss: 0.4671
step 4380; step_loss: 0.3987
step 4390; step_loss: 0.4769
step 4400; step_loss: 0.4140
step 4410; step_loss: 0.5309
step 4420; step_loss: 0.4301
step 4430; step_loss: 0.5536
step 4440; step_loss: 0.4823
step 4450; step_loss: 0.4183
step 4460; step_loss: 0.4807
step 4470; step_loss: 0.6259
step 4480; step_loss: 0.3626
step 4490; step_loss: 0.4103
step 4500; step_loss: 0.4772
step 4510; step_loss: 0.4028
step 4520; step_loss: 0.4425
step 4530; step_loss: 0.4321
step 4540; step_loss: 0.4731
step 4550; step_loss: 0.4090
step 4560; step_loss: 0.4681
step 4570; step_loss: 0.4606
step 4580; step_loss: 0.4548
step 4590; step_loss: 0.5117
step 4600; step_loss: 0.3517
step 4610; step_loss: 0.5144
step 4620; step_loss: 0.4606
step 4630; step_loss: 0.4686
step 4640; step_loss: 0.5216
step 4650; step_loss: 0.4342
step 4660; step_loss: 0.4494
step 4670; step_loss: 0.4586
step 4680; step_loss: 0.4126
step 4690; step_loss: 0.4096
step 4700; step_loss: 0.5122
step 4710; step_loss: 0.3595
step 4720; step_loss: 0.5550
step 4730; step_loss: 0.3572
step 4740; step_loss: 0.4996
step 4750; step_loss: 0.4590
step 4760; step_loss: 0.4752
step 4770; step_loss: 0.4573
step 4780; step_loss: 0.4015
step 4790; step_loss: 0.5304
step 4800; step_loss: 0.4184
step 4810; step_loss: 0.4607
step 4820; step_loss: 0.4362
step 4830; step_loss: 0.3575
step 4840; step_loss: 0.4638
step 4850; step_loss: 0.4330
step 4860; step_loss: 0.3651
step 4870; step_loss: 0.4654
step 4880; step_loss: 0.5279
step 4890; step_loss: 0.5085
step 4900; step_loss: 0.5192
step 4910; step_loss: 0.4143
step 4920; step_loss: 0.4640
step 4930; step_loss: 0.3862
step 4940; step_loss: 0.4672
step 4950; step_loss: 0.3472
step 4960; step_loss: 0.6094
step 4970; step_loss: 0.4356
step 4980; step_loss: 0.4318
step 4990; step_loss: 0.5059

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.363 | 0.577 | 0.704 | 0.755 | 0.885 | 1.056 |

============================
Global step:         5000
Learning rate:       0.0005
Step-time (ms):     3287.4730
Train loss avg:      0.4538
--------------------------
Val loss:            0.8738
srnn loss:           0.7113
============================

Saving the model...
done in 1391.63 ms
step 5000; step_loss: 0.3860
step 5010; step_loss: 0.3300
step 5020; step_loss: 0.4225
step 5030; step_loss: 0.5511
step 5040; step_loss: 0.4206
step 5050; step_loss: 0.3508
step 5060; step_loss: 0.3688
step 5070; step_loss: 0.4053
step 5080; step_loss: 0.4068
step 5090; step_loss: 0.3878
step 5100; step_loss: 0.4252
step 5110; step_loss: 0.4062
step 5120; step_loss: 0.4091
step 5130; step_loss: 0.4459
step 5140; step_loss: 0.3680
step 5150; step_loss: 0.4551
step 5160; step_loss: 0.4696
step 5170; step_loss: 0.3945
step 5180; step_loss: 0.4627
step 5190; step_loss: 0.4027
step 5200; step_loss: 0.3741
step 5210; step_loss: 0.4450
step 5220; step_loss: 0.4411
step 5230; step_loss: 0.4721
step 5240; step_loss: 0.4036
step 5250; step_loss: 0.5162
step 5260; step_loss: 0.5179
step 5270; step_loss: 0.4583
step 5280; step_loss: 0.3872
step 5290; step_loss: 0.5017
step 5300; step_loss: 0.3825
step 5310; step_loss: 0.5246
step 5320; step_loss: 0.4246
step 5330; step_loss: 0.3551
step 5340; step_loss: 0.3497
step 5350; step_loss: 0.4782
step 5360; step_loss: 0.4409
step 5370; step_loss: 0.3881
step 5380; step_loss: 0.4771
step 5390; step_loss: 0.2918
step 5400; step_loss: 0.4403
step 5410; step_loss: 0.4747
step 5420; step_loss: 0.4506
step 5430; step_loss: 0.4053
step 5440; step_loss: 0.4279
step 5450; step_loss: 0.3328
step 5460; step_loss: 0.4126
step 5470; step_loss: 0.4638
step 5480; step_loss: 0.3217
step 5490; step_loss: 0.5186
step 5500; step_loss: 0.4445
step 5510; step_loss: 0.3627
step 5520; step_loss: 0.4571
step 5530; step_loss: 0.4775
step 5540; step_loss: 0.3698
step 5550; step_loss: 0.4517
step 5560; step_loss: 0.3548
step 5570; step_loss: 0.3561
step 5580; step_loss: 0.4085
step 5590; step_loss: 0.4449
step 5600; step_loss: 0.5042
step 5610; step_loss: 0.3951
step 5620; step_loss: 0.4810
step 5630; step_loss: 0.4316
step 5640; step_loss: 0.3839
step 5650; step_loss: 0.4090
step 5660; step_loss: 0.4006
step 5670; step_loss: 0.4779
step 5680; step_loss: 0.4466
step 5690; step_loss: 0.3407
step 5700; step_loss: 0.3765
step 5710; step_loss: 0.3815
step 5720; step_loss: 0.4327
step 5730; step_loss: 0.3859
step 5740; step_loss: 0.3896
step 5750; step_loss: 0.3899
step 5760; step_loss: 0.4813
step 5770; step_loss: 0.3973
step 5780; step_loss: 0.4405
step 5790; step_loss: 0.4548
step 5800; step_loss: 0.4442
step 5810; step_loss: 0.4374
step 5820; step_loss: 0.4891
step 5830; step_loss: 0.4536
step 5840; step_loss: 0.3837
step 5850; step_loss: 0.4052
step 5860; step_loss: 0.4191
step 5870; step_loss: 0.4224
step 5880; step_loss: 0.4450
step 5890; step_loss: 0.3794
step 5900; step_loss: 0.4687
step 5910; step_loss: 0.3560
step 5920; step_loss: 0.3717
step 5930; step_loss: 0.4056
step 5940; step_loss: 0.3647
step 5950; step_loss: 0.5777
step 5960; step_loss: 0.5151
step 5970; step_loss: 0.4053
step 5980; step_loss: 0.4466
step 5990; step_loss: 0.3663

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.379 | 0.616 | 0.775 | 0.859 | 1.001 | 1.089 |

============================
Global step:         6000
Learning rate:       0.0005
Step-time (ms):     3432.7736
