model,step,step_loss
RNN + velocity all,1710,0.4792
RNN + velocity all,1720,0.3408
RNN + velocity all,1730,0.4138
RNN + velocity all,1740,0.3532
RNN + velocity all,1750,0.3324
RNN + velocity all,1760,0.3672
RNN + velocity all,1770,0.3399
RNN + velocity all,1780,0.4685
RNN + velocity all,1790,0.3935
RNN + velocity all,1800,0.4029
RNN + velocity all,1810,0.3449
RNN + velocity all,1820,0.274
RNN + velocity all,1830,0.3684
RNN + velocity all,1840,0.3226
RNN + velocity all,1850,0.4275
RNN + velocity all,1860,0.3329
RNN + velocity all,1870,0.3822
RNN + velocity all,1880,0.2875
RNN + velocity all,1890,0.2671
RNN + velocity all,1900,0.3634
RNN + velocity all,1910,0.2857
RNN + velocity all,1920,0.3532
RNN + velocity all,1930,0.3604
RNN + velocity all,1940,0.4238
RNN + velocity all,1950,0.4357
RNN + velocity all,1960,0.3991
RNN + velocity all,1970,0.3965
RNN + velocity all,1980,0.421
RNN + velocity all,1990,0.5062
RNN + velocity all,2000,0.3501
RNN + velocity all,2010,0.3197
RNN + velocity all,2020,0.2893
RNN + velocity all,2030,0.3121
RNN + velocity all,2040,0.3895
RNN + velocity all,2050,0.4186
RNN + velocity all,2060,0.8276
RNN + velocity all,2070,0.2796
RNN + velocity all,2080,0.3697
RNN + velocity all,2090,0.2898
RNN + velocity all,2100,0.416
RNN + velocity all,2110,0.4252
RNN + velocity all,2120,0.4127
RNN + velocity all,2130,0.3509
RNN + velocity all,2140,0.2824
RNN + velocity all,2150,0.9484
RNN + velocity all,2160,0.3213
RNN + velocity all,2170,0.3125
RNN + velocity all,2180,0.397
RNN + velocity all,2190,0.4124
RNN + velocity all,2200,0.3437
RNN + velocity all,2210,0.3651
RNN + velocity all,2220,0.3449
RNN + velocity all,2230,0.3821
RNN + velocity all,2240,0.3027
RNN + velocity all,2250,0.6483
RNN + velocity all,2260,0.5203
RNN + velocity all,2270,0.4062
RNN + velocity all,2280,0.3732
RNN + velocity all,2290,0.4218
RNN + velocity all,2300,0.2808
RNN + velocity all,2310,0.4922
RNN + velocity all,2320,0.3159
RNN + velocity all,2330,0.3274
RNN + velocity all,2340,0.3381
RNN + velocity all,2350,0.3179
RNN + velocity all,2360,1.2423
RNN + velocity all,2370,0.3208
RNN + velocity all,2380,0.3569
RNN + velocity all,2390,0.3076
RNN + velocity all,2400,0.3759
RNN + velocity all,2410,0.6947
RNN + velocity all,2420,0.4018
RNN + velocity all,2430,0.3065
RNN + velocity all,2440,0.3076
RNN + velocity all,2450,0.3685
RNN + velocity all,2460,0.4147
RNN + velocity all,2470,0.9869
RNN + velocity all,2480,0.3185
RNN + velocity all,2490,0.4279
RNN + velocity all,2500,0.2725
RNN + velocity all,2510,0.3752
RNN + velocity all,2520,0.3716
RNN + velocity all,2530,0.4608
RNN + velocity all,2540,0.4126
RNN + velocity all,2550,0.3043
RNN + velocity all,2560,0.8877
RNN + velocity all,2570,0.3228
RNN + velocity all,2580,0.5285
RNN + velocity all,2590,0.4397
RNN + velocity all,2600,0.3127
RNN + velocity all,2610,0.3631
RNN + velocity all,2620,0.3222
RNN + velocity all,2630,0.3723
RNN + velocity all,2640,0.2578
RNN + velocity all,2650,0.4644
RNN + velocity all,2660,0.3863
RNN + velocity all,2670,0.3702
RNN + velocity all,2680,0.3777
RNN + velocity all,2690,0.3854
RNN + velocity all,2700,0.2282
RNN + velocity all,2710,0.3678
RNN + velocity all,2720,0.2672
RNN + velocity all,2730,0.2778
RNN + velocity all,2740,0.3351
RNN + velocity all,2750,0.4376
RNN + velocity all,2760,0.527
RNN + velocity all,2770,0.3452
RNN + velocity all,2780,0.5826
RNN + velocity all,2790,0.4939
RNN + velocity all,2800,0.2576
RNN + velocity all,2810,0.2987
RNN + velocity all,2820,0.4727
RNN + velocity all,2830,0.3937
RNN + velocity all,2840,0.4451
RNN + velocity all,2850,0.515
RNN + velocity all,2860,0.3271
RNN + velocity all,2870,0.3924
RNN + velocity all,2880,0.3431
RNN + velocity all,2890,0.2743
RNN + velocity all,2900,0.3254
RNN + velocity all,2910,0.2697
RNN + velocity all,2920,0.2578
RNN + velocity all,2930,0.2682
RNN + velocity all,2940,0.4304
RNN + velocity all,2950,0.4334
RNN + velocity all,2960,0.3455
RNN + velocity all,2970,0.2292
RNN + velocity all,2980,0.2548
RNN + velocity all,2990,0.2986
RNN + velocity all,3000,0.2302
RNN + velocity all,3010,0.4295
RNN + velocity all,3020,0.2638
RNN + velocity all,3030,0.2774
RNN + velocity all,3040,0.3068
RNN + velocity all,3050,0.4097
RNN + velocity all,3060,0.4747
RNN + velocity all,3070,0.2958
RNN + velocity all,3080,0.2273
RNN + velocity all,3090,0.4563
RNN + velocity all,3100,0.3746
RNN + velocity all,3110,0.4878
RNN + velocity all,3120,0.2573
RNN + velocity all,3130,0.2776
RNN + velocity all,3140,0.3387
RNN + velocity all,3150,0.3571
RNN + velocity all,3160,0.2802
RNN + velocity all,3170,0.3284
RNN + velocity all,3180,0.3719
RNN + velocity all,3190,0.2614
RNN + velocity all,3200,0.3492
RNN + velocity all,3210,0.2895
RNN + velocity all,3220,0.3853
RNN + velocity all,3230,0.3622
RNN + velocity all,3240,0.3402
RNN + velocity all,3250,0.2899
RNN + velocity all,3260,0.3196
RNN + velocity all,3270,0.3507
RNN + velocity all,3280,0.2374
RNN + velocity all,3290,0.4465
RNN + velocity all,3300,0.3181
RNN + velocity all,3310,0.2925
RNN + velocity all,3320,0.3403
RNN + velocity all,3330,0.2614
RNN + velocity all,3340,0.271
RNN + velocity all,3350,0.3667
RNN + velocity all,3360,0.4332
RNN + velocity all,3370,0.358
RNN + velocity all,3380,0.2776
RNN + velocity all,3390,0.267
RNN + velocity all,3400,0.2279
RNN + velocity all,3410,0.3648
RNN + velocity all,3420,0.3155
RNN + velocity all,3430,0.4764
RNN + velocity all,3440,0.4106
RNN + velocity all,3450,0.3075
RNN + velocity all,3460,0.3369
RNN + velocity all,3470,0.3532
RNN + velocity all,3480,0.4304
RNN + velocity all,3490,0.3466
RNN + velocity all,3500,0.2904
RNN + velocity all,3510,0.273
RNN + velocity all,3520,0.2407
RNN + velocity all,3530,0.2428
RNN + velocity all,3540,0.4678
RNN + velocity all,3550,0.2987
RNN + velocity all,3560,0.2717
RNN + velocity all,3570,0.2641
RNN + velocity all,3580,0.235
