model,step,step_loss
Transformer 128/2,1950,0.7534
Transformer 128/2,1960,0.8611
Transformer 128/2,1970,0.7849
Transformer 128/2,1980,0.782
Transformer 128/2,1990,0.8087
Transformer 128/2,2000,0.7257
Transformer 128/2,2010,0.7722
Transformer 128/2,2020,0.763
Transformer 128/2,2030,0.6256
Transformer 128/2,2040,0.6589
Transformer 128/2,2050,0.683
Transformer 128/2,2060,0.681
Transformer 128/2,2070,0.6764
Transformer 128/2,2080,0.8446
Transformer 128/2,2090,0.8012
Transformer 128/2,2100,0.6335
Transformer 128/2,2110,0.6429
Transformer 128/2,2120,0.7619
Transformer 128/2,2130,0.6308
Transformer 128/2,2140,0.81
Transformer 128/2,2150,0.8957
Transformer 128/2,2160,0.946
Transformer 128/2,2170,0.8418
Transformer 128/2,2180,0.6193
Transformer 128/2,2190,0.6776
Transformer 128/2,2200,0.6969
Transformer 128/2,2210,0.8785
Transformer 128/2,2220,0.699
Transformer 128/2,2230,0.9256
Transformer 128/2,2240,0.7679
Transformer 128/2,2250,0.7091
Transformer 128/2,2260,0.7312
Transformer 128/2,2270,0.6554
Transformer 128/2,2280,0.55
Transformer 128/2,2290,0.8562
Transformer 128/2,2300,0.6703
Transformer 128/2,2310,0.6512
Transformer 128/2,2320,0.761
Transformer 128/2,2330,0.7172
Transformer 128/2,2340,0.6954
Transformer 128/2,2350,0.7644
Transformer 128/2,2360,0.7492
Transformer 128/2,2370,0.6469
Transformer 128/2,2380,0.6402
Transformer 128/2,2390,0.7368
Transformer 128/2,2400,0.7868
Transformer 128/2,2410,0.6729
Transformer 128/2,2420,0.5968
Transformer 128/2,2430,0.6305
Transformer 128/2,2440,0.7708
Transformer 128/2,2450,0.5369
Transformer 128/2,2460,0.6698
Transformer 128/2,2470,0.893
Transformer 128/2,2480,0.7653
Transformer 128/2,2490,0.6279
Transformer 128/2,2500,0.885
Transformer 128/2,2510,0.7375
Transformer 128/2,2520,0.7183
Transformer 128/2,2530,0.832
Transformer 128/2,2540,0.7267
Transformer 128/2,2550,0.7757
Transformer 128/2,2560,0.7066
Transformer 128/2,2570,0.6929
Transformer 128/2,2580,0.6523
Transformer 128/2,2590,0.751
Transformer 128/2,2600,0.7902
Transformer 128/2,2610,0.7794
Transformer 128/2,2620,0.7806
Transformer 128/2,2630,0.8753
Transformer 128/2,2640,0.8154
Transformer 128/2,2650,0.6691
Transformer 128/2,2660,0.7837
Transformer 128/2,2670,0.7226
Transformer 128/2,2680,0.6779
Transformer 128/2,2690,0.7219
Transformer 128/2,2700,0.7689
Transformer 128/2,2710,0.8366
Transformer 128/2,2720,0.7019
Transformer 128/2,2730,0.6725
Transformer 128/2,2740,0.5743
Transformer 128/2,2750,0.6599
Transformer 128/2,2760,0.6276
Transformer 128/2,2770,0.7363
Transformer 128/2,2780,0.7615
Transformer 128/2,2790,0.59
Transformer 128/2,2800,0.7601
Transformer 128/2,2810,0.6728
Transformer 128/2,2820,0.863
Transformer 128/2,2830,0.7473
Transformer 128/2,2840,0.7568
Transformer 128/2,2850,0.6257
Transformer 128/2,2860,0.7273
Transformer 128/2,2870,0.8608
Transformer 128/2,2880,0.7055
Transformer 128/2,2890,0.6797
Transformer 128/2,2900,0.5698
Transformer 128/2,2910,0.6784
Transformer 128/2,2920,0.7174
Transformer 128/2,2930,0.6826
Transformer 128/2,2940,0.6589
Transformer 128/2,2950,0.7942
Transformer 128/2,2960,0.6581
Transformer 128/2,2970,0.7259
Transformer 128/2,2980,0.6342
Transformer 128/2,2990,0.7281
Transformer 128/2,3000,0.7542
Transformer 128/2,3010,0.6288
Transformer 128/2,3020,0.714
Transformer 128/2,3030,0.6228
Transformer 128/2,3040,0.6326
Transformer 128/2,3050,0.7215
Transformer 128/2,3060,0.7639
Transformer 128/2,3070,0.6521
Transformer 128/2,3080,0.6922
Transformer 128/2,3090,0.6109
Transformer 128/2,3100,0.6425
Transformer 128/2,3110,0.7217
Transformer 128/2,3120,0.6314
Transformer 128/2,3130,0.8908
Transformer 128/2,3140,0.6159
Transformer 128/2,3150,0.7182
Transformer 128/2,3160,0.7004
Transformer 128/2,3170,0.6397
Transformer 128/2,3180,0.7316
Transformer 128/2,3190,0.8008
Transformer 128/2,3200,0.6297
Transformer 128/2,3210,0.7502
Transformer 128/2,3220,0.6643
Transformer 128/2,3230,0.7242
Transformer 128/2,3240,0.6432
Transformer 128/2,3250,0.6302
Transformer 128/2,3260,0.5872
Transformer 128/2,3270,0.7612
Transformer 128/2,3280,0.6468
Transformer 128/2,3290,0.7177
Transformer 128/2,3300,0.6248
Transformer 128/2,3310,0.6451
Transformer 128/2,3320,0.6349
Transformer 128/2,3330,0.6511
Transformer 128/2,3340,0.6819
Transformer 128/2,3350,0.5888
Transformer 128/2,3360,0.6998
Transformer 128/2,3370,0.6918
Transformer 128/2,3380,0.7185
