model,step,action,80ms,160ms,320ms,400ms,560ms,1000ms
RNN + velocity all,5000,purchases,0.617,0.87,1.217,1.315,1.729,2.671
RNN + velocity all,5000,sitting,0.458,0.775,1.314,1.547,1.844,2.486
RNN + velocity all,5000,sittingdown,0.449,0.855,1.316,1.508,1.804,2.896
RNN + velocity all,5000,takingphoto,0.286,0.563,0.898,1.043,1.197,1.562
RNN + velocity all,5000,waiting,0.375,0.726,1.244,1.459,1.854,2.599
RNN + velocity all,5000,walkingdog,0.582,0.948,1.388,1.592,2.022,2.499
RNN + velocity all,5000,walkingtogether,0.36,0.724,1.106,1.21,1.359,1.872
RNN + velocity all,6000,walking,0.406,0.712,1.012,1.146,1.276,1.466
RNN + velocity all,6000,eating,0.285,0.524,0.861,1.014,1.218,1.529
RNN + velocity all,6000,smoking,0.335,0.635,1.186,1.298,1.487,2.206
RNN + velocity all,6000,discussion,0.329,0.699,1.036,1.146,1.57,2.024
RNN + velocity all,6000,directions,0.429,0.684,0.899,1.035,1.211,1.77
RNN + velocity all,6000,greeting,0.546,0.898,1.314,1.506,1.839,2.082
RNN + velocity all,6000,phoning,0.659,1.239,1.668,1.835,1.793,2.117
RNN + velocity all,6000,posing,0.336,0.701,1.377,1.663,2.075,2.757
RNN + velocity all,6000,purchases,0.614,0.865,1.205,1.298,1.711,2.622
RNN + velocity all,6000,sitting,0.455,0.766,1.299,1.53,1.814,2.426
RNN + velocity all,6000,sittingdown,0.442,0.842,1.29,1.475,1.759,2.846
RNN + velocity all,6000,takingphoto,0.284,0.557,0.888,1.031,1.184,1.543
RNN + velocity all,6000,waiting,0.372,0.721,1.234,1.446,1.831,2.551
RNN + velocity all,6000,walkingdog,0.578,0.94,1.361,1.551,1.969,2.434
RNN + velocity all,6000,walkingtogether,0.358,0.719,1.089,1.188,1.331,1.832
RNN + velocity all,7000,walking,0.403,0.706,1.002,1.136,1.261,1.445
RNN + velocity all,7000,eating,0.283,0.519,0.848,0.998,1.193,1.496
RNN + velocity all,7000,smoking,0.331,0.627,1.17,1.275,1.457,2.161
RNN + velocity all,7000,discussion,0.327,0.694,1.025,1.131,1.551,2.014
RNN + velocity all,7000,directions,0.427,0.681,0.89,1.024,1.191,1.743
RNN + velocity all,7000,greeting,0.543,0.894,1.307,1.496,1.821,2.039
RNN + velocity all,7000,phoning,0.655,1.232,1.658,1.825,1.777,2.095
RNN + velocity all,7000,posing,0.331,0.689,1.354,1.633,2.048,2.717
RNN + velocity all,7000,purchases,0.611,0.86,1.193,1.283,1.684,2.575
RNN + velocity all,7000,sitting,0.452,0.76,1.288,1.52,1.796,2.396
RNN + velocity all,7000,sittingdown,0.439,0.837,1.278,1.458,1.738,2.833
RNN + velocity all,7000,takingphoto,0.284,0.555,0.885,1.03,1.187,1.537
RNN + velocity all,7000,waiting,0.366,0.709,1.212,1.421,1.801,2.516
RNN + velocity all,7000,walkingdog,0.577,0.935,1.344,1.529,1.944,2.383
RNN + velocity all,7000,walkingtogether,0.354,0.71,1.066,1.159,1.292,1.779
RNN + velocity all,8000,walking,0.4,0.698,0.989,1.12,1.241,1.416
RNN + velocity all,8000,eating,0.279,0.511,0.831,0.978,1.169,1.47
RNN + velocity all,8000,smoking,0.326,0.616,1.151,1.251,1.424,2.123
RNN + velocity all,8000,discussion,0.326,0.693,1.022,1.122,1.534,1.973
RNN + velocity all,8000,directions,0.423,0.673,0.876,1.006,1.166,1.707
RNN + velocity all,8000,greeting,0.542,0.891,1.304,1.492,1.811,2.014
RNN + velocity all,8000,phoning,0.652,1.225,1.646,1.81,1.755,2.066
RNN + velocity all,8000,posing,0.332,0.688,1.341,1.618,2.026,2.675
RNN + velocity all,8000,purchases,0.611,0.858,1.19,1.277,1.67,2.545
RNN + velocity all,8000,sitting,0.448,0.75,1.272,1.501,1.77,2.365
RNN + velocity all,8000,sittingdown,0.435,0.828,1.26,1.437,1.712,2.796
RNN + velocity all,8000,takingphoto,0.281,0.55,0.875,1.017,1.169,1.505
RNN + velocity all,8000,waiting,0.364,0.705,1.205,1.412,1.784,2.485
RNN + velocity all,8000,walkingdog,0.575,0.93,1.326,1.504,1.915,2.342
RNN + velocity all,8000,walkingtogether,0.353,0.705,1.051,1.138,1.265,1.749
RNN + velocity all,9000,walking,0.398,0.694,0.979,1.109,1.226,1.39
RNN + velocity all,9000,eating,0.279,0.509,0.824,0.969,1.157,1.459
RNN + velocity all,9000,smoking,0.324,0.613,1.141,1.243,1.417,2.114
RNN + velocity all,9000,discussion,0.325,0.689,1.011,1.11,1.517,1.978
RNN + velocity all,9000,directions,0.422,0.67,0.87,0.998,1.154,1.689
RNN + velocity all,9000,greeting,0.542,0.891,1.303,1.49,1.804,1.999
RNN + velocity all,9000,phoning,0.649,1.219,1.637,1.801,1.738,2.054
RNN + velocity all,9000,posing,0.335,0.691,1.339,1.616,1.996,2.619
RNN + velocity all,9000,purchases,0.609,0.857,1.185,1.269,1.661,2.526
RNN + velocity all,9000,sitting,0.445,0.743,1.261,1.488,1.751,2.332
RNN + velocity all,9000,sittingdown,0.431,0.821,1.243,1.416,1.685,2.777
RNN + velocity all,9000,takingphoto,0.282,0.551,0.877,1.022,1.175,1.511
RNN + velocity all,9000,waiting,0.364,0.703,1.198,1.404,1.773,2.457
RNN + velocity all,9000,walkingdog,0.573,0.927,1.316,1.489,1.896,2.323
RNN + velocity all,9000,walkingtogether,0.351,0.702,1.044,1.128,1.248,1.729
RNN + velocity all,10000,walking,0.397,0.691,0.974,1.103,1.219,1.387
RNN + velocity all,10000,eating,0.278,0.504,0.816,0.961,1.148,1.447
RNN + velocity all,10000,smoking,0.321,0.606,1.128,1.225,1.392,2.088
RNN + velocity all,10000,discussion,0.324,0.688,1.007,1.102,1.498,1.954
RNN + velocity all,10000,directions,0.422,0.67,0.87,0.998,1.153,1.681
RNN + velocity all,10000,greeting,0.54,0.889,1.302,1.488,1.799,1.989
RNN + velocity all,10000,phoning,0.648,1.216,1.63,1.79,1.728,2.033
RNN + velocity all,10000,posing,0.336,0.692,1.344,1.622,1.998,2.601
RNN + velocity all,10000,purchases,0.606,0.852,1.181,1.264,1.656,2.522
RNN + velocity all,10000,sitting,0.444,0.741,1.255,1.479,1.736,2.306
RNN + velocity all,10000,sittingdown,0.429,0.818,1.238,1.407,1.67,2.761
RNN + velocity all,10000,takingphoto,0.282,0.552,0.88,1.024,1.176,1.503
RNN + velocity all,10000,waiting,0.363,0.701,1.199,1.406,1.777,2.464
RNN + velocity all,10000,walkingdog,0.572,0.924,1.304,1.472,1.874,2.29
RNN + velocity all,10000,walkingtogether,0.352,0.703,1.044,1.13,1.253,1.739
Transformer + velocity all,1000,walking,0.387,0.66,0.938,1.073,1.213,1.455
Transformer + velocity all,1000,eating,0.31,0.544,0.814,0.935,1.085,1.781
Transformer + velocity all,1000,smoking,0.303,0.549,1.04,1.113,1.271,2.011
Transformer + velocity all,1000,discussion,0.344,0.733,1.031,1.119,1.561,2.023
Transformer + velocity all,1000,directions,0.427,0.661,0.868,0.991,1.143,1.802
Transformer + velocity all,1000,greeting,0.563,0.904,1.3,1.482,1.838,2.182
Transformer + velocity all,1000,phoning,0.662,1.205,1.718,1.876,1.748,2.196
Transformer + velocity all,1000,posing,0.344,0.644,1.306,1.559,1.873,2.762
Transformer + velocity all,1000,purchases,0.6,0.854,1.198,1.288,1.639,2.497
Transformer + velocity all,1000,sitting,0.422,0.673,1.1,1.286,1.477,2.094
Transformer + velocity all,1000,sittingdown,0.442,0.832,1.266,1.447,1.745,2.549
Transformer + velocity all,1000,takingphoto,0.301,0.582,0.881,1.03,1.204,1.734
Transformer + velocity all,1000,waiting,0.365,0.701,1.193,1.407,1.729,2.486
Transformer + velocity all,1000,walkingdog,0.609,0.999,1.32,1.425,1.778,2.31
Transformer + velocity all,1000,walkingtogether,0.34,0.653,0.914,0.992,1.164,1.781
Transformer + velocity all,2000,walking,0.397,0.676,0.93,1.042,1.129,1.572
Transformer + velocity all,2000,eating,0.286,0.502,0.747,0.871,1.099,1.75
Transformer + velocity all,2000,smoking,0.292,0.536,1.006,1.053,1.214,2.038
Transformer + velocity all,2000,discussion,0.34,0.732,1.019,1.085,1.473,1.958
Transformer + velocity all,2000,directions,0.41,0.621,0.83,0.943,1.127,1.802
Transformer + velocity all,2000,greeting,0.55,0.891,1.31,1.508,1.845,2.281
Transformer + velocity all,2000,phoning,0.643,1.194,1.658,1.794,1.729,2.181
Transformer + velocity all,2000,posing,0.46,0.881,1.512,1.772,2.037,2.83
Transformer + velocity all,2000,purchases,0.596,0.859,1.249,1.335,1.698,2.689
Transformer + velocity all,2000,sitting,0.43,0.687,1.137,1.345,1.535,2.151
Transformer + velocity all,2000,sittingdown,0.432,0.815,1.222,1.39,1.65,2.357
Transformer + velocity all,2000,takingphoto,0.294,0.588,0.922,1.084,1.266,1.815
Transformer + velocity all,2000,waiting,0.356,0.701,1.237,1.463,1.852,2.691
Transformer + velocity all,2000,walkingdog,0.6,0.981,1.313,1.447,1.83,2.338
Transformer + velocity all,2000,walkingtogether,0.338,0.664,0.945,1.006,1.111,1.777
Transformer + velocity all,3000,walking,0.394,0.663,0.886,0.978,1.066,1.357
Transformer + velocity all,3000,eating,0.272,0.469,0.695,0.828,1.044,1.552
Transformer + velocity all,3000,smoking,0.283,0.519,0.942,1.004,1.146,1.862
Transformer + velocity all,3000,discussion,0.333,0.721,1.007,1.071,1.454,1.935
Transformer + velocity all,3000,directions,0.409,0.628,0.798,0.902,1.021,1.608
Transformer + velocity all,3000,greeting,0.546,0.892,1.313,1.504,1.816,2.102
Transformer + velocity all,3000,phoning,0.637,1.176,1.612,1.754,1.664,2.075
Transformer + velocity all,3000,posing,0.374,0.768,1.433,1.689,1.905,2.712
Transformer + velocity all,3000,purchases,0.589,0.839,1.174,1.253,1.614,2.45
Transformer + velocity all,3000,sitting,0.421,0.673,1.116,1.316,1.507,2.111
Transformer + velocity all,3000,sittingdown,0.426,0.806,1.209,1.372,1.644,2.348
Transformer + velocity all,3000,takingphoto,0.28,0.565,0.879,1.034,1.209,1.675
Transformer + velocity all,3000,waiting,0.351,0.682,1.157,1.354,1.7,2.51
Transformer + velocity all,3000,walkingdog,0.59,0.947,1.233,1.346,1.734,2.203
Transformer + velocity all,3000,walkingtogether,0.338,0.657,0.917,0.969,1.061,1.666
Transformer + velocity all,4000,walking,0.387,0.652,0.841,0.919,0.994,1.391
Transformer + velocity all,4000,eating,0.277,0.477,0.696,0.813,0.998,1.711
Transformer + velocity all,4000,smoking,0.297,0.541,0.979,1.043,1.185,2.119
Transformer + velocity all,4000,discussion,0.32,0.691,0.96,1.03,1.402,1.981
Transformer + velocity all,4000,directions,0.421,0.651,0.828,0.941,1.093,1.856
Transformer + velocity all,4000,greeting,0.547,0.887,1.269,1.448,1.771,2.287
Transformer + velocity all,4000,phoning,0.64,1.188,1.616,1.737,1.648,2.034
Transformer + velocity all,4000,posing,0.347,0.696,1.31,1.596,1.893,2.588
