model,step,mean_80ms,mean_160ms,mean_320ms,mean_400ms,mean_560ms,mean_1000ms,val_loss,srnn_loss
Transformer + velocity all,10000,0.40440000000000004,0.7053999999999999,1.0283333333333335,1.1586,1.3539333333333334,1.884533333333333,0.1985,0.1367
RNN + velocity all,10000,0.4209333333333334,0.7497999999999999,1.1448,1.2980666666666667,1.5384666666666666,2.0509999999999997,0.3957,0.2252
