model,step,80ms,160ms,320ms,400ms,560ms,1000ms,val_loss,srnn_loss
Transformer,5000,0.335,0.516,0.688,0.771,0.945,1.354,0.5726,0.4111
RNN,9000,0.343,0.554,0.725,0.813,0.918,1.084,0.8078,0.6731
Transformer + velocity,3000,0.366,0.575,0.734,0.817,0.95,1.437,0.5247,0.4334
RNN + velocity,10000,0.367,0.636,0.951,1.087,1.29,1.725,0.5847,0.5068
