model,step,step_loss
RNN,2430,0.8355
RNN,2440,0.9453
RNN,2450,0.8435
RNN,2460,0.848
RNN,2470,0.7646
RNN,2480,0.8104
RNN,2490,0.9555
RNN,2500,0.8175
RNN,2510,0.7648
RNN,2520,0.9598
RNN,2530,0.8665
RNN,2540,0.7754
RNN,2550,0.7528
RNN,2560,0.6933
RNN,2570,0.8063
RNN,2580,0.9078
RNN,2590,0.7834
RNN,2600,0.8677
RNN,2610,0.7541
RNN,2620,0.751
RNN,2630,0.963
RNN,2640,0.9565
RNN,2650,0.7976
RNN,2660,0.666
RNN,2670,0.7138
RNN,2680,0.8124
RNN,2690,0.8908
RNN,2700,0.9219
RNN,2710,0.8796
RNN,2720,1.0004
RNN,2730,0.9325
RNN,2740,0.9317
RNN,2750,0.9791
RNN,2760,0.8072
RNN,2770,1.0442
RNN,2780,0.8823
RNN,2790,0.7903
RNN,2800,0.8323
RNN,2810,0.9918
RNN,2820,0.8718
RNN,2830,0.7022
RNN,2840,0.7266
RNN,2850,0.7653
RNN,2860,0.8054
RNN,2870,0.7724
RNN,2880,0.6668
RNN,2890,0.8034
RNN,2900,0.8935
RNN,2910,0.8192
RNN,2920,0.6548
RNN,2930,0.7217
RNN,2940,0.6438
RNN,2950,0.7216
RNN,2960,0.6226
RNN,2970,0.7549
RNN,2980,0.8082
RNN,2990,0.6377
RNN,3000,0.7604
RNN,3010,0.7872
RNN,3020,0.6122
RNN,3030,0.6487
RNN,3040,0.782
RNN,3050,0.7074
RNN,3060,0.7156
RNN,3070,0.6988
RNN,3080,0.7236
RNN,3090,0.9778
RNN,3100,0.7023
RNN,3110,0.7833
RNN,3120,0.7975
RNN,3130,0.8029
RNN,3140,0.9299
RNN,3150,0.8047
RNN,3160,0.6716
RNN,3170,0.7276
RNN,3180,0.5916
RNN,3190,0.9424
RNN,3200,0.8344
RNN,3210,0.7433
RNN,3220,0.8063
RNN,3230,0.8262
RNN,3240,0.7606
RNN,3250,0.8229
RNN,3260,0.6763
RNN,3270,0.6748
RNN,3280,0.6856
RNN,3290,0.7214
RNN,3300,0.7539
RNN,3310,0.7634
RNN,3320,0.6285
RNN,3330,0.679
RNN,3340,0.8426
RNN,3350,0.8103
RNN,3360,0.6927
RNN,3370,0.8052
RNN,3380,0.789
RNN,3390,0.7677
RNN,3400,0.885
RNN,3410,0.8794
RNN,3420,0.7544
RNN,3430,0.8411
RNN,3440,0.6364
RNN,3450,0.6554
RNN,3460,0.647
RNN,3470,0.8091
RNN,3480,0.6673
RNN,3490,0.6604
RNN,3500,0.7591
RNN,3510,0.7373
RNN,3520,0.6246
RNN,3530,0.6186
RNN,3540,0.7798
RNN,3550,0.7511
RNN,3560,0.8205
RNN,3570,0.9212
RNN,3580,0.5886
RNN,3590,0.62
RNN,3600,0.8075
RNN,3610,0.8215
RNN,3620,0.6528
RNN,3630,0.6167
RNN,3640,0.6715
RNN,3650,0.6864
RNN,3660,0.6077
RNN,3670,0.7525
RNN,3680,0.6635
RNN,3690,0.7375
RNN,3700,0.7581
RNN,3710,0.5896
RNN,3720,0.665
RNN,3730,0.5757
RNN,3740,0.6878
RNN,3750,0.8721
RNN,3760,0.7587
RNN,3770,0.7567
RNN,3780,0.5951
RNN,3790,0.6766
RNN,3800,0.7901
RNN,3810,0.8033
RNN,3820,0.897
RNN,3830,0.7011
RNN,3840,0.6881
RNN,3850,0.67
RNN,3860,0.8409
RNN,3870,0.7464
RNN,3880,0.5018
RNN,3890,0.7632
RNN,3900,0.6883
RNN,3910,0.8277
RNN,3920,0.7349
RNN,3930,0.6411
RNN,3940,0.7934
RNN,3950,0.7978
RNN,3960,0.6039
RNN,3970,0.6622
RNN,3980,0.8092
RNN,3990,0.7175
RNN,4000,0.751
RNN,4010,0.7308
RNN,4020,0.8007
RNN,4030,0.67
RNN,4040,0.8391
RNN,4050,0.7386
RNN,4060,0.6217
RNN,4070,0.6257
RNN,4080,0.8262
RNN,4090,0.7058
RNN,4100,0.6948
RNN,4110,0.7394
RNN,4120,0.7258
RNN,4130,0.6717
RNN,4140,0.6337
RNN,4150,0.6827
RNN,4160,0.6982
RNN,4170,0.7692
RNN,4180,0.6707
RNN,4190,0.6531
RNN,4200,0.6947
RNN,4210,0.615
RNN,4220,0.6537
RNN,4230,0.6099
RNN,4240,0.6451
RNN,4250,0.693
RNN,4260,0.577
RNN,4270,0.7174
RNN,4280,0.6698
RNN,4290,0.6617
RNN,4300,0.6649
RNN,4310,0.7509
RNN,4320,0.7426
RNN,4330,0.8748
RNN,4340,0.7213
RNN,4350,0.6201
RNN,4360,0.7537
RNN,4370,0.6057
RNN,4380,0.6428
RNN,4390,0.592
RNN,4400,0.5619
RNN,4410,0.8163
RNN,4420,0.6426
RNN,4430,0.6378
RNN,4440,0.5677
RNN,4450,0.7154
RNN,4460,0.5669
RNN,4470,0.6137
RNN,4480,0.7442
RNN,4490,0.8347
RNN,4500,0.6512
RNN,4510,0.5724
RNN,4520,0.7745
RNN,4530,0.5946
RNN,4540,0.6568
RNN,4550,0.5723
RNN,4560,0.6618
RNN,4570,0.5298
RNN,4580,0.622
RNN,4590,0.6874
RNN,4600,0.6455
RNN,4610,0.5916
RNN,4620,0.6501
RNN,4630,0.6716
RNN,4640,0.5891
RNN,4650,0.5969
RNN,4660,0.7947
RNN,4670,0.6009
RNN,4680,0.8589
RNN,4690,0.6989
RNN,4700,0.6173
RNN,4710,0.5201
RNN,4720,0.7428
RNN,4730,0.6233
RNN,4740,0.6029
RNN,4750,0.8744
RNN,4760,0.5677
RNN,4770,0.5474
RNN,4780,0.5802
RNN,4790,0.6142
RNN,4800,0.6295
RNN,4810,0.5718
RNN,4820,0.6153
RNN,4830,0.5726
RNN,4840,0.5849
RNN,4850,0.6608
RNN,4860,0.5379
RNN,4870,0.648
RNN,4880,0.5149
RNN,4890,0.5878
RNN,4900,0.5732
RNN,4910,0.5734
RNN,4920,0.5815
RNN,4930,0.653
RNN,4940,0.5673
RNN,4950,0.558
RNN,4960,0.7334
RNN,4970,0.5733
RNN,4980,0.6213
RNN,4990,0.5439
RNN,5000,0.5951
RNN,5010,0.6597
RNN,5020,0.5719
RNN,5030,0.6599
RNN,5040,0.6468
RNN,5050,0.5081
RNN,5060,0.5408
RNN,5070,0.5032
RNN,5080,0.64
RNN,5090,0.6894
RNN,5100,0.588
RNN,5110,0.5698
RNN,5120,0.6197
RNN,5130,0.5596
RNN,5140,0.5511
RNN,5150,0.5786
RNN,5160,0.6481
RNN,5170,0.6258
RNN,5180,0.5291
RNN,5190,0.5186
RNN,5200,0.5585
RNN,5210,0.493
RNN,5220,0.5087
RNN,5230,0.4622
RNN,5240,0.5766
RNN,5250,0.5475
RNN,5260,0.5087
RNN,5270,0.6378
RNN,5280,0.5229
RNN,5290,0.6068
RNN,5300,0.5667
RNN,5310,0.5708
RNN,5320,0.5566
RNN,5330,0.5063
RNN,5340,0.5531
RNN,5350,0.5175
RNN,5360,0.5391
RNN,5370,0.479
RNN,5380,0.6696
RNN,5390,0.4644
RNN,5400,0.5697
RNN,5410,0.6224
RNN,5420,0.5864
RNN,5430,0.7614
RNN,5440,0.5597
RNN,5450,0.5104
RNN,5460,0.6222
RNN,5470,0.668
RNN,5480,0.5463
RNN,5490,0.5315
RNN,5500,0.5232
RNN,5510,0.4773
RNN,5520,0.503
RNN,5530,0.5559
RNN,5540,0.4875
RNN,5550,0.4882
RNN,5560,0.6157
RNN,5570,0.6894
RNN,5580,0.5517
RNN,5590,0.6292
RNN,5600,0.5824
RNN,5610,0.5843
RNN,5620,0.4912
RNN,5630,0.7447
RNN,5640,0.6066
RNN,5650,0.5503
RNN,5660,0.6229
RNN,5670,0.6957
RNN,5680,0.5206
RNN,5690,0.6422
RNN,5700,0.601
RNN,5710,0.5275
RNN,5720,0.5707
RNN,5730,0.6518
RNN,5740,0.5416
RNN,5750,0.5162
RNN,5760,0.6336
RNN,5770,0.4698
RNN,5780,0.5367
RNN,5790,0.5215
RNN,5800,0.5124
RNN,5810,0.5537
RNN,5820,0.4488
RNN,5830,0.6586
RNN,5840,0.5218
RNN,5850,0.5384
RNN,5860,0.5694
RNN,5870,0.4233
RNN,5880,0.5468
RNN,5890,0.5564
